MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 4:39:14 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010349013305354381888,1515656339.876,0,-33,0,1,21.00,1
0x107010349013305354381888,1515656339.940,0,-33,0,1,21.00,1
0x107010349013305354381888,1515656340.040,0,-33,0,1,21.00,3
0x107010349013305354381888,1515656340.208,0,-33,0,1,21.00,3
0x107010349013305354381888,1515656340.345,0,-31,0,1,21.00,4
0x107010349013305354381888,1515656340.398,0,-33,0,1,21.00,1
0x107010349013305354381888,1515656340.591,0,-31,0,1,21.00,4
0x107010349013305354381888,1515656340.648,0,-31,0,1,21.00,4
0x107010349013305354381888,1515656340.705,0,-33,0,1,21.00,1
0x107010349013305354381888,1515656340.738,0,-33,0,1,21.00,1
0x107010349013305354381888,1515656340.797,0,-33,0,1,21.00,3
0x107010349013305354381888,1515656340.955,0,-31,0,1,21.00,4
0x107010349013305354381888,1515656341.121,0,-33,0,1,21.00,3
0x107010349013305354381888,1515656341.166,0,-33,0,1,21.00,3
0x107010349013305354381888,1515656341.237,0,-31,0,1,21.00,4
0x107010349013305354381888,1515656341.331,0,-33,0,1,21.00,1
0x107010349013305354381888,1515656341.464,0,-33,0,1,21.00,3
0x107010349013305354381888,1515656341.622,0,-33,0,1,21.00,1
0x107010349013305354381888,1515656341.686,0,-33,0,1,21.00,1
0x107010349013305354381888,1515656341.746,0,-33,0,1,21.00,3
0x107010349013305354381888,1515656341.794,0,-33,0,1,21.00,3
0x107010349013305354381888,1515656341.953,0,-33,0,1,21.00,1
0x107010349013305354381888,1515656342.017,0,-33,0,1,21.00,1
0x107010349013305354381888,1515656342.210,0,-31,0,1,21.00,4
0x107010349013305354381888,1515656342.617,0,-31,0,1,21.00,4
0x107010349013305354381888,1515656342.654,0,-31,0,1,21.00,4
0x107010349013305354381888,1515656342.723,0,-33,0,1,21.00,1
0x107010349013305354381888,1515656342.787,0,-34,0,1,21.00,1
0x107010349013305354381888,1515656342.979,0,-33,0,1,21.00,3
0x107010349013305354381888,1515656343.134,0,-33,0,1,21.00,1
0x107010349013305354381888,1515656343.267,0,-33,0,1,21.00,3
0x107010349013305354381888,1515656343.546,0,-33,0,1,21.00,3
0x107010349013305354381888,1515656343.593,0,-33,0,1,21.00,3
0x107010349013305354381888,1515656343.702,0,-32,0,2,21.00,4
0x107010349013305354381888,1515656343.791,0,-33,0,2,21.00,1
0x107010349013305354381888,1515656343.828,0,-33,0,2,21.00,1
0x107010349013305354381888,1515656343.968,0,-33,0,2,21.00,3
0x107010349013305354381888,1515656344.002,0,-33,0,2,21.00,3
0x107010349013305354381888,1515656344.099,0,-33,0,2,21.00,3
0x107010349013305354381888,1515656344.271,0,-33,0,2,21.00,1
0x107010349013305354381888,1515656344.330,0,-33,0,2,21.00,1
