MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 4:46:21 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010549013305354071900,1515656768.088,0,-32,0,2,21.00,1
0x107010549013305354071900,1515656768.133,0,-32,0,2,21.00,1
0x107010549013305354071900,1515656768.521,0,-34,0,2,21.00,4
0x107010549013305354071900,1515656768.648,0,-32,0,2,21.00,1
0x107010549013305354071900,1515656768.925,0,-34,0,2,21.00,4
0x107010549013305354071900,1515656768.956,0,-34,0,2,21.00,4
0x107010549013305354071900,1515656769.229,0,-32,0,2,21.00,1
0x107010549013305354071900,1515656769.314,0,-32,0,2,21.00,1
0x107010549013305354071900,1515656769.809,0,-32,0,2,21.00,1
0x107010549013305354071900,1515656769.969,0,-34,0,2,21.00,4
0x107010549013305354071900,1515656770.036,0,-32,0,2,21.00,1
0x107010549013305354071900,1515656770.286,0,-34,0,2,21.00,4
0x107010549013305354071900,1515656770.376,0,-32,0,2,21.00,1
0x107010549013305354071900,1515656770.560,0,-34,0,2,21.00,4
0x107010549013305354071900,1515656770.594,0,-34,0,2,21.00,4
0x107010549013305354071900,1515656770.641,0,-32,0,2,21.00,1
0x107010549013305354071900,1515656770.687,0,-32,0,2,21.00,1
0x107010549013305354071900,1515656771.277,0,-32,0,2,21.00,1
0x107010549013305354071900,1515656771.335,0,-32,0,2,21.00,1
0x107010549013305354071900,1515656771.583,0,-32,0,2,21.00,1
0x107010549013305354071900,1515656771.846,0,-34,0,2,21.00,4
0x107010549013305354071900,1515656772.233,0,-32,0,3,21.00,1
0x107010549013305354071900,1515656772.515,0,-34,0,3,21.00,4
0x107010549013305354071900,1515656772.603,0,-32,0,3,21.00,1
0x107010549013305354071900,1515656772.658,0,-32,0,3,21.00,1
0x107010549013305354071900,1515656772.838,0,-34,0,3,21.00,4
0x107010549013305354071900,1515656772.892,0,-32,0,3,21.00,1
0x107010549013305354071900,1515656772.935,0,-32,0,3,21.00,1
0x107010549013305354071900,1515656773.095,0,-34,0,3,21.00,4
0x107010549013305354071900,1515656773.137,0,-34,0,3,21.00,4
0x107010549013305354071900,1515656773.178,0,-32,0,3,21.00,1
0x107010549013305354071900,1515656773.240,0,-32,0,3,21.00,1
0x107010549013305354071900,1515656774.259,0,-32,0,3,21.00,1
0x107010549013305354071900,1515656774.855,0,-32,0,3,21.00,1
0x107010549013305354071900,1515656774.884,0,-32,0,3,21.00,1
0x107010549013305354071900,1515656775.165,0,-32,0,3,21.00,1
0x107010549013305354071900,1515656775.619,0,-32,0,3,21.00,1
0x107010549013305354071900,1515656775.924,0,-32,0,4,21.00,1
0x107010549013305354071900,1515656776.002,0,-32,0,4,21.00,1
0x107010549013305354071900,1515656776.300,0,-33,0,4,21.00,1
0x107010549013305354071900,1515656776.615,0,-32,0,4,21.00,1
0x107010549013305354071900,1515656776.905,0,-32,0,4,21.00,1
0x107010549013305354071900,1515656777.148,0,-32,0,4,21.00,1
0x107010549013305354071900,1515656777.196,0,-32,0,4,21.00,1
0x107010549013305354071900,1515656777.574,0,-34,0,4,21.00,4
0x107010549013305354071900,1515656777.604,0,-34,0,4,21.00,4
0x107010549013305354071900,1515656777.649,0,-32,0,4,21.00,1
0x107010549013305354071900,1515656777.711,0,-32,0,4,21.00,1
0x107010549013305354071900,1515656778.060,0,-33,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515656768.098,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515656768.150,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515656768.611,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515656768.672,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515656769.284,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515656769.761,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515656769.792,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515656770.051,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515656770.084,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515656770.366,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515656770.406,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515656770.668,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515656771.287,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515656771.347,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515656771.652,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515656771.938,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515656772.198,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515656772.250,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515656772.593,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515656772.637,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515656772.879,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515656772.919,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515656773.207,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515656773.723,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515656774.226,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515656774.296,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515656774.531,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515656774.575,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515656775.146,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515656775.204,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515656775.598,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515656775.639,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515656775.942,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515656775.990,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515656776.239,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515656776.274,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515656776.555,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515656776.586,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515656776.860,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515656776.916,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515656777.208,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515656777.680,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515656778.075,0,-31,0,4,21.00,1
0x104010149108547326741498,1515656768.115,0,-33,0,2,21.00,1
0x104010149108547326741498,1515656768.319,0,-33,0,2,21.00,4
0x104010149108547326741498,1515656768.351,0,-32,0,2,21.00,4
0x104010149108547326741498,1515656768.416,0,-35,0,2,21.00,3
0x104010149108547326741498,1515656768.548,0,-32,0,2,21.00,4
0x104010149108547326741498,1515656768.625,0,-33,0,2,21.00,1
0x104010149108547326741498,1515656768.882,0,-35,0,2,21.00,3
0x104010149108547326741498,1515656768.968,0,-31,0,2,21.00,4
0x104010149108547326741498,1515656769.151,0,-31,0,2,21.00,4
0x104010149108547326741498,1515656769.203,0,-31,0,2,21.00,4
0x104010149108547326741498,1515656769.296,0,-33,0,2,21.00,1
0x104010149108547326741498,1515656769.571,0,-36,0,2,21.00,3
0x104010149108547326741498,1515656769.704,0,-31,0,2,21.00,4
0x104010149108547326741498,1515656769.747,0,-33,0,2,21.00,1
0x104010149108547326741498,1515656769.820,0,-33,0,2,21.00,1
0x104010149108547326741498,1515656770.107,0,-33,0,2,21.00,1
0x104010149108547326741498,1515656770.186,0,-35,0,2,21.00,3
0x104010149108547326741498,1515656770.351,0,-33,0,2,21.00,1
0x104010149108547326741498,1515656770.394,0,-33,0,2,21.00,1
0x104010149108547326741498,1515656770.547,0,-31,0,2,21.00,4
0x104010149108547326741498,1515656770.604,0,-31,0,2,21.00,4
0x104010149108547326741498,1515656770.656,0,-33,0,2,21.00,1
0x104010149108547326741498,1515656770.697,0,-33,0,2,21.00,1
0x104010149108547326741498,1515656770.923,0,-31,0,2,21.00,4
0x104010149108547326741498,1515656771.222,0,-31,0,2,21.00,4
0x104010149108547326741498,1515656771.300,0,-33,0,2,21.00,1
0x104010149108547326741498,1515656771.396,0,-35,0,2,21.00,3
0x104010149108547326741498,1515656771.629,0,-33,0,2,21.00,1
0x104010149108547326741498,1515656771.792,0,-31,0,2,21.00,4
0x104010149108547326741498,1515656771.886,0,-33,0,3,21.00,1
0x104010149108547326741498,1515656771.951,0,-33,0,3,21.00,1
0x104010149108547326741498,1515656772.045,0,-35,0,3,21.00,3
0x104010149108547326741498,1515656772.105,0,-31,0,3,21.00,4
0x104010149108547326741498,1515656772.210,0,-33,0,3,21.00,1
0x104010149108547326741498,1515656772.311,0,-36,0,3,21.00,2
0x104010149108547326741498,1515656772.356,0,-36,0,3,21.00,2
0x104010149108547326741498,1515656772.612,0,-33,0,3,21.00,1
0x104010149108547326741498,1515656772.901,0,-33,0,3,21.00,1
0x104010149108547326741498,1515656773.079,0,-31,0,3,21.00,4
0x104010149108547326741498,1515656773.152,0,-31,0,3,21.00,4
0x104010149108547326741498,1515656773.230,0,-33,0,3,21.00,1
0x104010149108547326741498,1515656773.608,0,-31,0,3,21.00,4
0x104010149108547326741498,1515656773.662,0,-31,0,3,21.00,4
0x104010149108547326741498,1515656773.712,0,-33,0,3,21.00,1
0x104010149108547326741498,1515656773.743,0,-33,0,3,21.00,1
0x104010149108547326741498,1515656773.938,0,-31,0,3,21.00,4
0x104010149108547326741498,1515656774.154,0,-31,0,3,21.00,4
0x104010149108547326741498,1515656774.236,0,-33,0,3,21.00,1
0x104010149108547326741498,1515656774.277,0,-33,0,3,21.00,1
0x104010149108547326741498,1515656774.542,0,-33,0,3,21.00,1
0x104010149108547326741498,1515656774.592,0,-33,0,3,21.00,1
0x104010149108547326741498,1515656774.866,0,-33,0,3,21.00,1
0x104010149108547326741498,1515656775.073,0,-31,0,3,21.00,4
0x104010149108547326741498,1515656775.346,0,-36,0,3,21.00,3
0x104010149108547326741498,1515656775.402,0,-36,0,3,21.00,3
0x104010149108547326741498,1515656775.513,0,-31,0,3,21.00,4
0x104010149108547326741498,1515656775.589,0,-33,0,3,21.00,1
0x104010149108547326741498,1515656775.652,0,-33,0,3,21.00,1
0x104010149108547326741498,1515656775.726,0,-36,0,4,21.00,3
0x104010149108547326741498,1515656775.792,0,-36,0,4,21.00,3
0x104010149108547326741498,1515656775.898,0,-31,0,4,21.00,4
0x104010149108547326741498,1515656775.977,0,-33,0,4,21.00,1
0x104010149108547326741498,1515656776.038,0,-36,0,4,21.00,3
