MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 4:53:13 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010549013305354071900,1515657179.484,0,-31,0,2,21.00,1
0x107010549013305354071900,1515657179.532,0,-31,0,2,21.00,1
0x107010549013305354071900,1515657179.763,0,-32,0,2,21.00,4
0x107010549013305354071900,1515657179.850,0,-31,0,2,21.00,1
0x107010549013305354071900,1515657179.885,0,-31,0,2,21.00,1
0x107010549013305354071900,1515657180.112,0,-33,0,2,21.00,4
0x107010549013305354071900,1515657180.165,0,-33,0,2,21.00,4
0x107010549013305354071900,1515657180.514,0,-33,0,2,21.00,4
0x107010549013305354071900,1515657180.548,0,-33,0,2,21.00,4
0x107010549013305354071900,1515657180.884,0,-33,0,2,21.00,4
0x107010549013305354071900,1515657180.923,0,-33,0,2,21.00,4
0x107010549013305354071900,1515657180.999,0,-31,0,2,21.00,1
0x107010549013305354071900,1515657181.260,0,-33,0,2,21.00,4
0x107010549013305354071900,1515657181.619,0,-33,0,2,21.00,4
0x107010549013305354071900,1515657181.692,0,-33,0,2,21.00,4
0x107010549013305354071900,1515657181.794,0,-31,0,2,21.00,1
0x107010549013305354071900,1515657182.036,0,-33,0,2,21.00,4
0x107010549013305354071900,1515657182.094,0,-31,0,2,21.00,1
0x107010549013305354071900,1515657182.169,0,-31,0,2,21.00,1
0x107010549013305354071900,1515657182.740,0,-33,0,2,21.00,4
0x107010549013305354071900,1515657182.807,0,-31,0,2,21.00,1
0x107010549013305354071900,1515657182.854,0,-31,0,2,21.00,1
0x107010549013305354071900,1515657183.089,0,-33,0,2,21.00,4
0x107010549013305354071900,1515657183.128,0,-33,0,2,21.00,4
0x107010549013305354071900,1515657183.199,0,-31,0,2,21.00,1
0x107010549013305354071900,1515657183.935,0,-31,0,3,21.00,1
0x107010549013305354071900,1515657184.007,0,-31,0,3,21.00,1
0x107010549013305354071900,1515657184.285,0,-33,0,3,21.00,4
0x107010549013305354071900,1515657184.383,0,-31,0,3,21.00,1
0x107010549013305354071900,1515657184.627,0,-33,0,3,21.00,4
0x107010549013305354071900,1515657184.865,0,-33,0,3,21.00,4
0x107010549013305354071900,1515657184.897,0,-33,0,3,21.00,4
