MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 4:35:43 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010349013305354381889,1515656115.880,0,-28,0,4,21.00,3
0x107010349013305354381889,1515656115.955,0,-29,0,4,21.00,3
0x107010349013305354381889,1515656116.136,0,-29,0,4,21.00,3
0x107010349013305354381889,1515656116.392,0,-29,0,4,21.00,3
0x107010349013305354381889,1515656116.437,0,-29,0,4,21.00,3
0x107010349013305354381889,1515656116.789,0,-29,0,4,21.00,3
0x107010349013305354381889,1515656116.848,0,-28,0,4,21.00,3
0x107010349013305354381889,1515656117.096,0,-29,0,4,21.00,3
0x107010349013305354381889,1515656117.147,0,-29,0,4,21.00,3
0x107010349013305354381889,1515656117.363,0,-29,0,4,21.00,3
0x107010349013305354381889,1515656117.427,0,-29,0,4,21.00,3
0x107010349013305354381889,1515656117.638,0,-28,0,4,21.00,3
0x107010349013305354381889,1515656117.677,0,-29,0,4,21.00,3
0x107010349013305354381889,1515656117.760,0,-33,0,4,21.00,4
0x107010349013305354381889,1515656117.809,0,-33,0,4,21.00,4
0x107010349013305354381889,1515656117.990,0,-28,0,4,21.00,3
0x107010349013305354381889,1515656118.130,0,-33,0,4,21.00,4
0x107010349013305354381889,1515656118.206,0,-29,0,4,21.00,3
0x107010349013305354381889,1515656118.288,0,-30,0,4,21.00,3
0x107010349013305354381889,1515656118.528,0,-29,0,4,21.00,3
0x107010349013305354381889,1515656118.572,0,-29,0,4,21.00,3
0x107010349013305354381889,1515656118.834,0,-29,0,4,21.00,3
0x107010349013305354381889,1515656118.882,0,-29,0,4,21.00,3
0x107010349013305354381889,1515656119.190,0,-30,0,4,21.00,3
0x107010349013305354381889,1515656119.371,0,-29,0,4,21.00,3
0x107010349013305354381889,1515656119.415,0,-28,0,4,21.00,3
0x107010349013305354381889,1515656119.689,0,-29,0,1,21.00,3
0x107010349013305354381889,1515656119.705,0,-28,0,1,21.00,3
0x107010349013305354381889,1515656119.896,0,-28,0,1,21.00,3
0x107010349013305354381889,1515656119.953,0,-29,0,1,21.00,3
0x107010349013305354381889,1515656120.196,0,-28,0,1,21.00,3
0x107010349013305354381889,1515656120.247,0,-28,0,1,21.00,3
0x107010349013305354381889,1515656120.495,0,-28,0,1,21.00,3
0x107010349013305354381889,1515656120.571,0,-29,0,1,21.00,3
0x107010349013305354381889,1515656120.624,0,-28,0,1,21.00,3
0x107010349013305354381889,1515656120.721,0,-29,0,1,21.00,3
0x107010349013305354381889,1515656120.901,0,-28,0,1,21.00,3
0x107010349013305354381889,1515656120.980,0,-33,0,1,21.00,4
0x107010349013305354381889,1515656121.019,0,-33,0,1,21.00,4
0x107010349013305354381889,1515656121.257,0,-29,0,1,21.00,3
0x107010349013305354381889,1515656121.299,0,-29,0,1,21.00,3
0x107010349013305354381889,1515656121.463,0,-28,0,1,21.00,3
0x107010349013305354381889,1515656121.713,0,-28,0,1,21.00,3
0x107010349013305354381889,1515656122.070,0,-29,0,1,21.00,3
