MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 4:50:50 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x00b07a139010bc913000c7d3,1515657037.778,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515657037.823,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515657038.202,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515657038.262,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515657038.593,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515657038.663,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515657039.001,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515657039.035,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515657039.365,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515657039.412,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515657039.762,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515657039.802,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515657040.151,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515657040.229,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515657040.642,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515657041.028,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515657041.078,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515657041.484,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515657041.886,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515657042.297,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515657042.326,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515657042.681,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515657042.725,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515657043.117,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515657043.166,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515657043.522,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515657043.575,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515657043.974,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515657044.337,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515657044.369,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515657044.715,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515657044.781,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515657045.179,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515657045.595,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515657045.964,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515657046.321,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515657046.360,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515657046.729,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515657047.130,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515657047.199,0,-31,0,4,21.00,1
0x107010549013305354071900,1515657037.793,0,-32,0,2,21.00,1
0x107010549013305354071900,1515657037.833,0,-32,0,2,21.00,1
0x107010549013305354071900,1515657038.102,0,-33,0,2,21.00,4
0x107010549013305354071900,1515657038.142,0,-33,0,2,21.00,4
0x107010549013305354071900,1515657038.191,0,-32,0,2,21.00,1
0x107010549013305354071900,1515657038.249,0,-32,0,2,21.00,1
0x107010549013305354071900,1515657038.497,0,-33,0,2,21.00,4
0x107010549013305354071900,1515657038.554,0,-33,0,2,21.00,4
0x107010549013305354071900,1515657038.622,0,-32,0,2,21.00,1
0x107010549013305354071900,1515657039.011,0,-32,0,2,21.00,1
0x107010549013305354071900,1515657039.354,0,-32,0,2,21.00,1
0x107010549013305354071900,1515657039.425,0,-32,0,2,21.00,1
0x107010549013305354071900,1515657039.675,0,-33,0,2,21.00,4
0x107010549013305354071900,1515657039.814,0,-32,0,2,21.00,1
0x107010549013305354071900,1515657040.049,0,-33,0,2,21.00,4
0x107010549013305354071900,1515657040.098,0,-33,0,2,21.00,4
0x107010549013305354071900,1515657040.161,0,-32,0,2,21.00,1
0x107010549013305354071900,1515657040.219,0,-32,0,2,21.00,1
0x107010549013305354071900,1515657040.485,0,-33,0,2,21.00,4
0x107010549013305354071900,1515657040.526,0,-33,0,2,21.00,4
0x107010549013305354071900,1515657040.609,0,-32,0,2,21.00,1
0x107010549013305354071900,1515657040.653,0,-32,0,2,21.00,1
0x107010549013305354071900,1515657040.942,0,-33,0,2,21.00,4
0x107010549013305354071900,1515657040.984,0,-33,0,2,21.00,4
0x107010549013305354071900,1515657041.058,0,-32,0,2,21.00,1
0x107010549013305354071900,1515657041.377,0,-33,0,2,21.00,4
0x107010549013305354071900,1515657041.416,0,-33,0,2,21.00,4
0x107010549013305354071900,1515657041.459,0,-32,0,2,21.00,1
0x107010549013305354071900,1515657041.522,0,-32,0,2,21.00,1
0x107010549013305354071900,1515657041.876,0,-33,0,3,21.00,1
0x107010549013305354071900,1515657041.928,0,-33,0,3,21.00,1
0x107010549013305354071900,1515657042.197,0,-33,0,3,21.00,4
0x107010549013305354071900,1515657042.234,0,-33,0,3,21.00,4
0x107010549013305354071900,1515657042.307,0,-33,0,3,21.00,1
0x107010549013305354071900,1515657042.581,0,-33,0,3,21.00,4
0x107010549013305354071900,1515657042.639,0,-33,0,3,21.00,4
0x107010549013305354071900,1515657042.696,0,-32,0,3,21.00,1
0x107010549013305354071900,1515657042.753,0,-33,0,3,21.00,1
0x107010549013305354071900,1515657043.156,0,-33,0,3,21.00,1
0x107010549013305354071900,1515657043.423,0,-33,0,3,21.00,4
0x107010549013305354071900,1515657043.984,0,-32,0,3,21.00,1
0x107010549013305354071900,1515657044.242,0,-33,0,3,21.00,4
0x107010549013305354071900,1515657044.392,0,-33,0,3,21.00,1
0x107010549013305354071900,1515657044.771,0,-32,0,3,21.00,1
0x107010549013305354071900,1515657045.012,0,-33,0,3,21.00,4
0x107010549013305354071900,1515657045.075,0,-33,0,3,21.00,4
0x107010549013305354071900,1515657045.570,0,-33,0,4,21.00,1
0x107010549013305354071900,1515657045.724,0,-34,0,4,21.00,3
0x107010549013305354071900,1515657045.867,0,-33,0,4,21.00,4
0x107010549013305354071900,1515657045.934,0,-33,0,4,21.00,1
0x107010549013305354071900,1515657045.992,0,-33,0,4,21.00,1
0x107010549013305354071900,1515657046.281,0,-33,0,4,21.00,4
0x107010549013305354071900,1515657046.386,0,-33,0,4,21.00,1
0x107010549013305354071900,1515657046.664,0,-33,0,4,21.00,4
0x107010549013305354071900,1515657046.708,0,-33,0,4,21.00,1
0x107010549013305354071900,1515657046.769,0,-33,0,4,21.00,1
0x107010549013305354071900,1515657047.031,0,-33,0,4,21.00,4
0x107010549013305354071900,1515657047.092,0,-33,0,4,21.00,4
0x107010549013305354071900,1515657047.182,0,-33,0,4,21.00,1
0x107010349013305354381888,1515657037.803,0,-33,0,2,21.00,1
0x107010349013305354381888,1515657038.112,0,-34,0,2,21.00,4
0x107010349013305354381888,1515657038.227,0,-33,0,2,21.00,1
0x107010349013305354381888,1515657038.610,0,-33,0,2,21.00,1
0x107010349013305354381888,1515657038.646,0,-33,0,2,21.00,1
0x107010349013305354381888,1515657038.913,0,-34,0,2,21.00,4
0x107010349013305354381888,1515657039.387,0,-33,0,2,21.00,1
0x107010349013305354381888,1515657039.772,0,-33,0,2,21.00,1
0x107010349013305354381888,1515657039.829,0,-33,0,2,21.00,1
0x107010349013305354381888,1515657040.121,0,-34,0,2,21.00,4
0x107010349013305354381888,1515657040.205,0,-33,0,2,21.00,1
0x107010349013305354381888,1515657040.619,0,-33,0,2,21.00,1
0x107010349013305354381888,1515657040.677,0,-33,0,2,21.00,1
0x107010349013305354381888,1515657040.975,0,-34,0,2,21.00,4
0x107010349013305354381888,1515657041.049,0,-33,0,2,21.00,1
0x107010349013305354381888,1515657041.095,0,-32,0,2,21.00,1
0x107010349013305354381888,1515657041.472,0,-33,0,2,21.00,1
0x107010349013305354381888,1515657041.505,0,-33,0,2,21.00,1
0x107010349013305354381888,1515657041.777,0,-35,0,3,21.00,4
0x107010349013305354381888,1515657041.820,0,-35,0,3,21.00,4
0x107010349013305354381888,1515657042.284,0,-32,0,3,21.00,1
0x107010349013305354381888,1515657042.345,0,-33,0,3,21.00,1
0x107010349013305354381888,1515657042.706,0,-32,0,3,21.00,1
0x107010349013305354381888,1515657043.102,0,-33,0,3,21.00,1
0x107010349013305354381888,1515657043.178,0,-33,0,3,21.00,1
0x107010349013305354381888,1515657043.562,0,-33,0,3,21.00,1
0x107010349013305354381888,1515657043.920,0,-32,0,3,21.00,1
0x107010349013305354381888,1515657044.380,0,-33,0,3,21.00,1
0x107010349013305354381888,1515657044.727,0,-32,0,3,21.00,1
0x107010349013305354381888,1515657044.756,0,-33,0,3,21.00,1
0x107010349013305354381888,1515657045.122,0,-32,0,3,21.00,1
0x107010349013305354381888,1515657045.159,0,-33,0,3,21.00,1
0x107010349013305354381888,1515657045.527,0,-32,0,4,21.00,1
0x107010349013305354381888,1515657045.974,0,-32,0,4,21.00,1
0x107010349013305354381888,1515657046.308,0,-32,0,4,21.00,1
0x107010349013305354381888,1515657046.373,0,-32,0,4,21.00,1
0x107010349013305354381888,1515657046.720,0,-32,0,4,21.00,1
0x107010349013305354381888,1515657046.748,0,-32,0,4,21.00,1
0x107010349013305354381888,1515657047.151,0,-32,0,4,21.00,1
