MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 4:48:22 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010349013305354381888,1515656887.706,0,-33,0,2,21.00,1
0x107010349013305354381888,1515656887.786,0,-33,0,2,21.00,1
0x107010349013305354381888,1515656887.919,0,-33,0,2,21.00,3
0x107010349013305354381888,1515656888.195,0,-34,0,2,21.00,3
0x107010349013305354381888,1515656888.259,0,-33,0,2,21.00,1
0x107010349013305354381888,1515656888.303,0,-33,0,2,21.00,1
0x107010349013305354381888,1515656888.437,0,-34,0,2,21.00,3
0x107010349013305354381888,1515656888.470,0,-33,0,2,21.00,3
0x107010349013305354381888,1515656888.633,0,-33,0,2,21.00,1
0x107010349013305354381888,1515656888.823,0,-33,0,2,21.00,1
0x107010349013305354381888,1515656888.882,0,-33,0,2,21.00,1
0x107010349013305354381888,1515656888.943,0,-33,0,2,21.00,3
0x107010349013305354381888,1515656888.985,0,-34,0,2,21.00,3
0x107010349013305354381888,1515656889.448,0,-33,0,2,21.00,1
0x107010349013305354381888,1515656889.602,0,-34,0,2,21.00,3
0x107010349013305354381888,1515656889.651,0,-33,0,2,21.00,3
0x107010349013305354381888,1515656889.801,0,-33,0,2,21.00,1
0x107010349013305354381888,1515656889.843,0,-33,0,2,21.00,1
0x107010349013305354381888,1515656889.943,0,-33,0,2,21.00,3
0x107010349013305354381888,1515656890.121,0,-33,0,2,21.00,1
0x107010349013305354381888,1515656890.165,0,-33,0,2,21.00,1
0x107010349013305354381888,1515656890.508,0,-33,0,2,21.00,1
0x107010349013305354381888,1515656890.537,0,-33,0,2,21.00,1
0x107010349013305354381888,1515656890.626,0,-33,0,2,21.00,3
0x107010349013305354381888,1515656890.724,0,-33,0,2,21.00,1
0x107010349013305354381888,1515656890.762,0,-33,0,2,21.00,1
0x107010349013305354381888,1515656891.203,0,-33,0,2,21.00,3
0x107010349013305354381888,1515656891.246,0,-33,0,2,21.00,3
0x107010349013305354381888,1515656891.385,0,-33,0,2,21.00,1
0x107010349013305354381888,1515656891.449,0,-33,0,2,21.00,1
0x107010349013305354381888,1515656891.513,0,-33,0,3,21.00,3
0x107010349013305354381888,1515656891.562,0,-33,0,3,21.00,3
0x107010349013305354381888,1515656891.735,0,-33,0,3,21.00,1
0x107010349013305354381888,1515656891.932,0,-33,0,3,21.00,1
0x107010349013305354381888,1515656891.965,0,-33,0,3,21.00,1
0x107010349013305354381888,1515656892.244,0,-33,0,3,21.00,1
0x107010349013305354381888,1515656892.296,0,-33,0,3,21.00,1
0x107010349013305354381888,1515656892.617,0,-33,0,3,21.00,1
0x107010349013305354381888,1515656892.668,0,-33,0,3,21.00,1
0x107010349013305354381888,1515656892.906,0,-33,0,3,21.00,1
0x107010349013305354381888,1515656892.947,0,-32,0,3,21.00,1
0x107010349013305354381888,1515656893.312,0,-33,0,3,21.00,1
0x107010349013305354381888,1515656893.620,0,-33,0,3,21.00,1
0x107010349013305354381888,1515656893.657,0,-33,0,3,21.00,1
0x107010349013305354381888,1515656894.021,0,-33,0,3,21.00,1
0x107010349013305354381888,1515656894.316,0,-33,0,3,21.00,1
0x107010349013305354381888,1515656894.361,0,-33,0,3,21.00,1
0x107010349013305354381888,1515656894.902,0,-33,0,3,21.00,1
0x107010349013305354381888,1515656894.950,0,-33,0,3,21.00,1
