MultiReader - Tags Read History Results
Test Description: 
Test Date: 12/27/17  Time: 6:01:32 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000001105,1514365275.357,0,-33,0,3,21.00,3
0x000000000000000000001105,1514365275.428,0,-33,0,3,21.00,3
0x000000000000000000001105,1514365275.517,0,-33,0,3,21.00,4
0x000000000000000000001105,1514365275.942,0,-33,0,3,21.00,3
0x000000000000000000001105,1514365276.724,0,-33,0,3,21.00,4
0x000000000000000000001105,1514365276.756,0,-33,0,3,21.00,4
0x000000000000000000001105,1514365276.948,0,-34,0,3,21.00,3
0x000000000000000000001105,1514365277.151,0,-34,0,3,21.00,3
0x000000000000000000001105,1514365277.207,0,-34,0,3,21.00,3
0x000000000000000000001105,1514365277.416,0,-34,0,3,21.00,3
0x000000000000000000001105,1514365277.620,0,-33,0,3,21.00,3
0x000000000000000000001105,1514365277.668,0,-33,0,3,21.00,4
0x000000000000000000001105,1514365277.700,0,-33,0,3,21.00,4
0x000000000000000000001105,1514365277.779,0,-34,0,3,21.00,3
0x000000000000000000001105,1514365277.833,0,-34,0,3,21.00,3
0x000000000000000000001105,1514365278.123,0,-34,0,3,21.00,3
0x000000000000000000001105,1514365278.209,0,-33,0,3,21.00,4
0x000000000000000000001105,1514365278.336,0,-34,0,3,21.00,3
0x000000000000000000001105,1514365278.378,0,-34,0,3,21.00,3
0x000000000000000000001105,1514365278.908,0,-34,0,3,21.00,3
0x000000000000000000001105,1514365278.953,0,-34,0,3,21.00,3
0x000000000000000000001105,1514365279.011,0,-33,0,3,21.00,4
0x000000000000000000001105,1514365279.066,0,-33,0,3,21.00,4
0x000000000000000000001105,1514365279.204,0,-33,0,4,21.00,4
0x000000000000000000001105,1514365279.326,0,-33,0,4,21.00,4
0x000000000000000000001105,1514365279.453,0,-33,0,4,21.00,4
0x000000000000000000001105,1514365279.668,0,-33,0,4,21.00,3
0x000000000000000000001105,1514365279.748,0,-33,0,4,21.00,4
0x000000000000000000001105,1514365280.074,0,-33,0,4,21.00,3
0x000000000000000000001105,1514365280.143,0,-33,0,4,21.00,3
0x000000000000000000001105,1514365280.215,0,-33,0,4,21.00,4
0x000000000000000000001105,1514365280.605,0,-33,0,4,21.00,4
0x000000000000000000001105,1514365280.719,0,-33,0,4,21.00,4
0x000000000000000000001105,1514365280.965,0,-33,0,4,21.00,3
0x000000000000000000001105,1514365281.049,0,-33,0,4,21.00,4
0x000000000000000000001105,1514365281.097,0,-33,0,4,21.00,4
0x000000000000000000001105,1514365281.171,0,-33,0,4,21.00,3
0x000000000000000000001105,1514365281.205,0,-33,0,4,21.00,3
0x000000000000000000001105,1514365281.267,0,-33,0,4,21.00,4
0x000000000000000000001105,1514365281.304,0,-33,0,4,21.00,4
0x000000000000000000001105,1514365281.473,0,-33,0,4,21.00,4
0x000000000000000000001105,1514365281.531,0,-33,0,4,21.00,4
0x000000000000000000001105,1514365281.626,0,-33,0,4,21.00,3
0x000000000000000000001105,1514365282.016,0,-33,0,4,21.00,3
0x000000000000000000001105,1514365282.331,0,-33,0,4,21.00,3
0x000000000000000000001105,1514365282.405,0,-33,0,4,21.00,4
0x000000000000000000001105,1514365282.461,0,-33,0,4,21.00,4
0x000000000000000000001105,1514365282.528,0,-33,0,4,21.00,3
0x000000000000000000001105,1514365282.570,0,-33,0,4,21.00,3
0x000000000000000000001105,1514365283.404,0,-34,0,1,21.00,3
0x000000000000000000001105,1514365283.442,0,-34,0,1,21.00,3
0x000000000000000000001105,1514365283.850,0,-34,0,1,21.00,3
0x000000000000000000001105,1514365283.891,0,-34,0,1,21.00,3
0x000000000000000000001105,1514365284.736,0,-34,0,1,21.00,3
0x000000000000000000001105,1514365284.799,0,-34,0,1,21.00,3
0x000000000000000000001105,1514365285.102,0,-34,0,1,21.00,3
