MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 2:27:49 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010349013305354381890,1517376457.164,0,-29,0,1,21.00,3
0x107010349013305354381890,1517376457.208,0,-29,0,1,21.00,3
0x107010349013305354381890,1517376457.303,0,-32,0,1,21.00,4
0x107010349013305354381890,1517376457.442,0,-29,0,1,21.00,3
0x107010349013305354381890,1517376457.495,0,-32,0,1,21.00,4
0x107010349013305354381890,1517376457.540,0,-32,0,1,21.00,4
0x107010349013305354381890,1517376457.635,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376457.769,0,-32,0,1,21.00,4
0x107010349013305354381890,1517376457.842,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376457.885,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376457.944,0,-32,0,1,21.00,4
0x107010349013305354381890,1517376457.999,0,-32,0,1,21.00,4
0x107010349013305354381890,1517376458.140,0,-29,0,1,21.00,3
0x107010349013305354381890,1517376458.190,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376458.716,0,-32,0,1,21.00,4
0x107010349013305354381890,1517376458.777,0,-32,0,1,21.00,4
0x107010349013305354381890,1517376458.928,0,-29,0,1,21.00,3
0x107010349013305354381890,1517376459.228,0,-32,0,1,21.00,4
0x107010349013305354381890,1517376459.312,0,-32,0,1,21.00,4
0x107010349013305354381890,1517376459.419,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376459.682,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376459.744,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376459.825,0,-32,0,1,21.00,4
0x107010349013305354381890,1517376459.906,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376459.953,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376460.044,0,-32,0,1,21.00,4
0x107010349013305354381890,1517376460.242,0,-32,0,1,21.00,4
0x107010349013305354381890,1517376460.285,0,-32,0,1,21.00,4
0x107010349013305354381890,1517376460.383,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376460.474,0,-32,0,1,21.00,4
0x107010349013305354381890,1517376460.529,0,-32,0,1,21.00,4
0x107010349013305354381890,1517376460.716,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376460.761,0,-32,0,1,21.00,4
0x107010349013305354381890,1517376460.803,0,-33,0,1,21.00,4
0x107010349013305354381890,1517376460.881,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376460.925,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376461.053,0,-32,0,1,21.00,4
0x107010349013305354381890,1517376461.246,0,-32,0,1,21.00,4
0x107010349013305354381890,1517376461.427,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376461.493,0,-32,0,1,21.00,4
0x107010349013305354381890,1517376461.613,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376461.675,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376461.722,0,-32,0,1,21.00,4
0x107010349013305354381890,1517376461.747,0,-31,0,1,21.00,4
0x107010349013305354381890,1517376461.838,0,-33,0,1,21.00,2
0x107010349013305354381890,1517376461.879,0,-33,0,1,21.00,2
0x107010349013305354381890,1517376461.954,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376462.203,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376462.480,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376462.707,0,-29,0,1,21.00,3
0x107010349013305354381890,1517376462.760,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376462.824,0,-32,0,1,21.00,4
0x107010349013305354381890,1517376462.880,0,-32,0,1,21.00,4
0x107010349013305354381890,1517376462.980,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376463.032,0,-33,0,1,21.00,4
0x107010349013305354381890,1517376463.076,0,-33,0,1,21.00,4
0x107010349013305354381890,1517376463.178,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376463.263,0,-33,0,1,21.00,4
0x107010349013305354381890,1517376463.452,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376463.570,0,-32,0,1,21.00,4
0x107010349013305354381890,1517376463.777,0,-32,0,1,21.00,4
0x107010349013305354381890,1517376463.865,0,-29,0,1,21.00,3
0x107010349013305354381890,1517376463.923,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376464.092,0,-29,0,1,21.00,3
0x107010349013305354381890,1517376464.256,0,-33,0,1,21.00,4
0x107010349013305354381890,1517376464.352,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376464.529,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376464.692,0,-33,0,1,21.00,4
0x107010349013305354381890,1517376464.749,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376464.875,0,-30,0,1,21.00,3
0x107010349013305354381890,1517376464.932,0,-32,0,1,21.00,4
0x107010349013305354381890,1517376465.084,0,-33,0,1,21.00,2
0x107010349013305354381890,1517376465.163,0,-29,0,1,21.00,3
0x107010349013305354381890,1517376465.268,0,-33,0,1,21.00,4
0x107010349013305354381890,1517376465.473,0,-33,0,1,21.00,4
0x107010349013305354381890,1517376465.552,0,-33,0,1,21.00,4
0x107010349013305354381890,1517376465.662,0,-29,0,1,21.00,3
0x107010349013305354381890,1517376465.765,0,-33,0,1,21.00,4
0x107010349013305354381890,1517376465.875,0,-33,0,1,21.00,2
0x107010349013305354381890,1517376465.962,0,-29,0,1,21.00,3
0x107010349013305354381890,1517376466.083,0,-33,0,1,21.00,4
0x107010349013305354381890,1517376466.165,0,-33,0,1,21.00,2
0x107010349013305354381890,1517376466.344,0,-33,0,1,21.00,4
0x107010349013305354381890,1517376466.452,0,-29,0,1,21.00,3
0x107010349013305354381890,1517376466.704,0,-29,0,1,21.00,3
0x107010349013305354381890,1517376466.771,0,-33,0,1,21.00,4
0x107010349013305354381890,1517376466.823,0,-33,0,1,21.00,4
0x107010349013305354381890,1517376466.984,0,-33,0,1,21.00,4
0x107010349013305354381890,1517376467.030,0,-33,0,1,21.00,4
0x107010349013305354381890,1517376467.119,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376457.178,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376457.388,0,-27,0,1,21.00,3
0x000000000000000000004005,1517376457.428,0,-28,0,1,21.00,3
0x000000000000000000004005,1517376457.611,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376457.678,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376457.896,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376458.165,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376458.401,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376458.816,0,-31,0,1,21.00,2
0x000000000000000000004005,1517376458.874,0,-31,0,1,21.00,2
0x000000000000000000004005,1517376459.107,0,-28,0,1,21.00,3
0x000000000000000000004005,1517376459.151,0,-27,0,1,21.00,3
0x000000000000000000004005,1517376459.358,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376459.407,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376459.593,0,-31,0,1,21.00,2
0x000000000000000000004005,1517376459.643,0,-31,0,1,21.00,2
0x000000000000000000004005,1517376459.667,0,-28,0,1,21.00,3
0x000000000000000000004005,1517376459.963,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376460.160,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376460.356,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376460.414,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376460.581,0,-31,0,1,21.00,2
0x000000000000000000004005,1517376460.614,0,-31,0,1,21.00,2
0x000000000000000000004005,1517376460.672,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376460.703,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376460.869,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376460.935,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376461.173,0,-28,0,1,21.00,3
0x000000000000000000004005,1517376461.373,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376461.439,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376461.685,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376461.889,0,-31,0,1,21.00,2
0x000000000000000000004005,1517376461.911,0,-28,0,1,21.00,3
0x000000000000000000004005,1517376461.991,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376462.172,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376462.458,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376462.488,0,-28,0,1,21.00,3
0x000000000000000000004005,1517376462.694,0,-28,0,1,21.00,3
0x000000000000000000004005,1517376462.990,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376463.211,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376463.378,0,-27,0,1,21.00,3
0x000000000000000000004005,1517376463.675,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376463.852,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376463.937,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376464.158,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376464.363,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376464.570,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376464.771,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376465.048,0,-31,0,1,21.00,2
0x000000000000000000004005,1517376465.101,0,-31,0,1,21.00,2
0x000000000000000000004005,1517376465.387,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376465.808,0,-31,0,1,21.00,2
0x000000000000000000004005,1517376465.852,0,-31,0,1,21.00,2
0x000000000000000000004005,1517376465.921,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376466.134,0,-30,0,1,21.00,2
0x000000000000000000004005,1517376466.175,0,-31,0,1,21.00,2
0x000000000000000000004005,1517376466.239,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376466.279,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376466.463,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376466.714,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376466.885,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376466.934,0,-29,0,1,21.00,3
0x110010349835865102614942,1517376457.187,0,-33,0,1,21.00,3
0x110010349835865102614942,1517376457.626,0,-34,0,1,21.00,3
0x110010349835865102614942,1517376457.653,0,-34,0,1,21.00,3
0x110010349835865102614942,1517376458.600,0,-34,0,1,21.00,3
0x110010349835865102614942,1517376458.653,0,-34,0,1,21.00,3
0x110010349835865102614942,1517376458.916,0,-34,0,1,21.00,3
0x110010349835865102614942,1517376458.968,0,-34,0,1,21.00,3
0x110010349835865102614942,1517376459.121,0,-34,0,1,21.00,3
0x110010349835865102614942,1517376459.179,0,-34,0,1,21.00,3
0x110010349835865102614942,1517376459.371,0,-34,0,1,21.00,3
0x110010349835865102614942,1517376459.431,0,-34,0,1,21.00,3
0x110010349835865102614942,1517376459.733,0,-34,0,1,21.00,3
0x110010349835865102614942,1517376460.138,0,-34,0,1,21.00,3
0x110010349835865102614942,1517376460.208,0,-34,0,1,21.00,3
0x110010349835865102614942,1517376460.425,0,-34,0,1,21.00,3
0x110010349835865102614942,1517376460.726,0,-34,0,1,21.00,3
0x110010349835865102614942,1517376460.912,0,-34,0,1,21.00,3
0x110010349835865102614942,1517376461.393,0,-34,0,1,21.00,3
0x110010349835865102614942,1517376462.152,0,-34,0,1,21.00,3
0x110010349835865102614942,1517376462.191,0,-34,0,1,21.00,3
0x110010349835865102614942,1517376462.469,0,-34,0,1,21.00,3
0x110010349835865102614942,1517376462.544,0,-34,0,1,21.00,3
