MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 2:27:35 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010145263633097661864,1517376443.445,0,-33,0,1,21.00,3
0x107010145263633097661864,1517376443.490,0,-33,0,1,21.00,3
0x107010145263633097661864,1517376443.560,0,-33,0,1,21.00,4
0x107010145263633097661864,1517376443.622,0,-33,0,1,21.00,4
0x107010145263633097661864,1517376443.728,0,-33,0,1,21.00,3
0x107010145263633097661864,1517376443.916,0,-33,0,1,21.00,3
0x107010145263633097661864,1517376443.964,0,-33,0,1,21.00,3
0x107010145263633097661864,1517376444.055,0,-33,0,1,21.00,4
0x107010145263633097661864,1517376444.240,0,-32,0,1,21.00,4
0x107010145263633097661864,1517376444.449,0,-33,0,1,21.00,3
0x107010145263633097661864,1517376444.505,0,-32,0,1,21.00,4
0x107010145263633097661864,1517376444.549,0,-32,0,1,21.00,4
0x107010145263633097661864,1517376444.718,0,-33,0,1,21.00,3
0x107010145263633097661864,1517376444.915,0,-33,0,1,21.00,3
0x107010145263633097661864,1517376444.981,0,-33,0,1,21.00,3
0x107010145263633097661864,1517376445.102,0,-32,0,1,21.00,4
0x107010145263633097661864,1517376445.298,0,-32,0,1,21.00,4
0x107010145263633097661864,1517376445.463,0,-32,0,1,21.00,4
0x107010145263633097661864,1517376445.849,0,-33,0,1,21.00,3
0x107010145263633097661864,1517376445.905,0,-32,0,1,21.00,4
0x107010145263633097661864,1517376446.169,0,-32,0,1,21.00,4
0x107010145263633097661864,1517376446.363,0,-32,0,1,21.00,4
0x107010145263633097661864,1517376446.495,0,-33,0,1,21.00,3
0x107010145263633097661864,1517376446.633,0,-32,0,1,21.00,4
0x107010145263633097661864,1517376446.827,0,-32,0,1,21.00,4
0x107010145263633097661864,1517376446.886,0,-32,0,1,21.00,4
0x107010145263633097661864,1517376446.974,0,-33,0,1,21.00,3
0x107010145263633097661864,1517376447.057,0,-32,0,1,21.00,4
0x107010145263633097661864,1517376447.255,0,-33,0,1,21.00,3
0x107010145263633097661864,1517376447.308,0,-33,0,1,21.00,3
0x107010145263633097661864,1517376447.619,0,-33,0,1,21.00,3
0x107010145263633097661864,1517376447.716,0,-32,0,1,21.00,4
0x107010145263633097661864,1517376447.829,0,-32,0,1,21.00,4
0x107010145263633097661864,1517376448.120,0,-32,0,1,21.00,4
0x107010145263633097661864,1517376448.287,0,-32,0,1,21.00,4
0x107010145263633097661864,1517376448.452,0,-33,0,1,21.00,3
0x107010145263633097661864,1517376448.537,0,-33,0,1,21.00,4
0x107010145263633097661864,1517376448.755,0,-33,0,1,21.00,4
0x107010145263633097661864,1517376448.830,0,-33,0,1,21.00,4
0x107010145263633097661864,1517376448.894,0,-33,0,1,21.00,3
0x107010145263633097661864,1517376448.936,0,-32,0,1,21.00,3
0x107010145263633097661864,1517376449.020,0,-33,0,1,21.00,4
0x107010145263633097661864,1517376449.117,0,-32,0,1,21.00,3
0x107010145263633097661864,1517376449.485,0,-32,0,1,21.00,4
0x107010145263633097661864,1517376449.864,0,-32,0,1,21.00,4
0x107010145263633097661864,1517376450.288,0,-33,0,1,21.00,4
0x107010145263633097661864,1517376450.494,0,-33,0,1,21.00,4
0x107010145263633097661864,1517376450.559,0,-32,0,1,21.00,4
0x107010145263633097661864,1517376450.841,0,-32,0,1,21.00,3
0x107010145263633097661864,1517376450.999,0,-33,0,1,21.00,4
0x107010145263633097661864,1517376451.276,0,-33,0,1,21.00,4
0x107010145263633097661864,1517376451.339,0,-33,0,1,21.00,4
0x107010145263633097661864,1517376451.450,0,-33,0,1,21.00,3
