MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 2:29:11 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010549013305354071900,1517376538.933,0,-34,0,1,21.00,3
0x107010549013305354071900,1517376539.421,0,-32,0,1,21.00,2
0x107010549013305354071900,1517376539.694,0,-34,0,1,21.00,3
0x107010549013305354071900,1517376539.754,0,-34,0,1,21.00,3
0x107010549013305354071900,1517376539.954,0,-34,0,1,21.00,3
0x107010549013305354071900,1517376540.123,0,-34,0,1,21.00,3
0x107010549013305354071900,1517376540.775,0,-33,0,1,21.00,2
0x107010549013305354071900,1517376540.814,0,-33,0,1,21.00,2
0x107010549013305354071900,1517376540.867,0,-34,0,1,21.00,3
0x107010549013305354071900,1517376540.912,0,-34,0,1,21.00,3
0x107010549013305354071900,1517376541.097,0,-34,0,1,21.00,3
0x107010549013305354071900,1517376541.325,0,-34,0,1,21.00,3
0x107010549013305354071900,1517376541.839,0,-34,0,1,21.00,3
0x107010549013305354071900,1517376542.476,0,-34,0,1,21.00,3
0x107010549013305354071900,1517376542.646,0,-34,0,1,21.00,3
0x107010549013305354071900,1517376542.778,0,-34,0,1,21.00,3
0x107010549013305354071900,1517376544.399,0,-34,0,1,21.00,3
0x107010549013305354071900,1517376544.621,0,-34,0,1,21.00,3
0x107010549013305354071900,1517376544.672,0,-34,0,1,21.00,3
0x107010549013305354071900,1517376544.865,0,-34,0,1,21.00,3
0x107010549013305354071900,1517376545.076,0,-34,0,1,21.00,3
0x107010549013305354071900,1517376545.110,0,-34,0,1,21.00,3
0x107010549013305354071900,1517376545.740,0,-32,0,1,21.00,2
0x107010549013305354071900,1517376545.771,0,-33,0,1,21.00,2
0x107010549013305354071900,1517376546.187,0,-33,0,1,21.00,3
0x107010549013305354071900,1517376546.256,0,-34,0,1,21.00,3
0x107010549013305354071900,1517376546.763,0,-34,0,1,21.00,3
0x107010549013305354071900,1517376547.174,0,-34,0,1,21.00,3
0x107010549013305354071900,1517376547.831,0,-34,0,1,21.00,3
0x107010549013305354071900,1517376547.878,0,-34,0,1,21.00,3
0x107010549013305354071900,1517376548.673,0,-33,0,1,21.00,2
0x107010549013305354071900,1517376548.737,0,-33,0,1,21.00,2
0x107010549013305354071900,1517376549.023,0,-34,0,1,21.00,3
0x107010549013305354071900,1517376549.055,0,-34,0,1,21.00,3
0x000000000000000000004005,1517376538.943,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376538.971,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376539.197,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376539.450,0,-31,0,1,21.00,2
0x000000000000000000004005,1517376539.545,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376539.743,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376539.902,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376540.762,0,-31,0,1,21.00,2
0x000000000000000000004005,1517376540.823,0,-31,0,1,21.00,2
0x000000000000000000004005,1517376541.087,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376541.139,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376541.397,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376541.599,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376541.797,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376542.012,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376542.222,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376542.283,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376542.447,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376543.176,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376543.609,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376543.799,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376543.850,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376544.169,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376544.198,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376545.065,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376545.122,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376545.304,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376545.348,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376545.725,0,-31,0,1,21.00,2
0x000000000000000000004005,1517376545.798,0,-31,0,1,21.00,2
0x000000000000000000004005,1517376545.889,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376546.202,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376546.241,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376546.473,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376547.156,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376547.357,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376547.407,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376547.568,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376547.593,0,-26,0,1,21.00,3
0x000000000000000000004005,1517376548.063,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376548.686,0,-31,0,1,21.00,2
0x000000000000000000004005,1517376548.719,0,-31,0,1,21.00,2
0x107010349013305354381891,1517376538.988,0,-34,0,1,21.00,3
0x107010349013305354381891,1517376539.207,0,-34,0,1,21.00,3
0x107010349013305354381891,1517376539.482,0,-34,0,1,21.00,3
0x107010349013305354381891,1517376539.524,0,-34,0,1,21.00,3
0x107010349013305354381891,1517376539.923,0,-34,0,1,21.00,3
0x107010349013305354381891,1517376540.343,0,-34,0,1,21.00,3
0x107010349013305354381891,1517376541.077,0,-34,0,1,21.00,3
0x107010349013305354381891,1517376541.385,0,-34,0,1,21.00,3
0x107010349013305354381891,1517376541.776,0,-34,0,1,21.00,3
0x107010349013305354381891,1517376541.818,0,-34,0,1,21.00,3
0x107010349013305354381891,1517376542.236,0,-34,0,1,21.00,3
0x107010349013305354381891,1517376542.432,0,-34,0,1,21.00,3
0x107010349013305354381891,1517376542.486,0,-34,0,1,21.00,3
0x107010349013305354381891,1517376543.823,0,-34,0,1,21.00,3
0x107010349013305354381891,1517376545.520,0,-34,0,1,21.00,3
0x107010349013305354381891,1517376545.575,0,-34,0,1,21.00,3
0x107010349013305354381891,1517376545.898,0,-34,0,1,21.00,3
0x107010349013305354381891,1517376546.230,0,-34,0,1,21.00,3
0x107010349013305354381891,1517376546.923,0,-34,0,1,21.00,3
0x107010349013305354381891,1517376546.962,0,-34,0,1,21.00,3
0x107010349013305354381891,1517376547.841,0,-34,0,1,21.00,3
0x107010349013305354381891,1517376548.053,0,-34,0,1,21.00,3
0x107010349013305354381891,1517376548.086,0,-34,0,1,21.00,3
0x107010349013305354381891,1517376548.483,0,-34,0,1,21.00,3
0x107010349013305354381891,1517376548.774,0,-34,0,1,21.00,3
