MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 2:19:51 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010349013305354381890,1517375974.789,0,-28,0,1,21.00,3
0x107010349013305354381890,1517375974.823,0,-27,0,1,21.00,3
0x107010349013305354381890,1517375975.009,0,-27,0,1,21.00,3
0x107010349013305354381890,1517375975.077,0,-28,0,1,21.00,3
0x107010349013305354381890,1517375975.245,0,-27,0,1,21.00,3
0x107010349013305354381890,1517375975.286,0,-26,0,1,21.00,3
0x107010349013305354381890,1517375975.460,0,-27,0,1,21.00,3
0x107010349013305354381890,1517375975.502,0,-27,0,1,21.00,3
0x107010349013305354381890,1517375975.765,0,-28,0,1,21.00,3
0x107010349013305354381890,1517375975.989,0,-28,0,1,21.00,3
0x107010349013305354381890,1517375976.246,0,-28,0,1,21.00,3
0x107010349013305354381890,1517375976.263,0,-27,0,1,21.00,3
0x107010349013305354381890,1517375976.498,0,-28,0,1,21.00,3
0x107010349013305354381890,1517375976.557,0,-27,0,1,21.00,3
0x107010349013305354381890,1517375976.802,0,-27,0,1,21.00,3
0x107010349013305354381890,1517375977.006,0,-28,0,1,21.00,3
0x107010349013305354381890,1517375977.030,0,-27,0,1,21.00,3
0x107010349013305354381890,1517375977.213,0,-28,0,1,21.00,3
0x107010349013305354381890,1517375977.271,0,-29,0,1,21.00,3
0x107010349013305354381890,1517375977.451,0,-32,0,1,21.00,2
0x107010349013305354381890,1517375977.487,0,-32,0,1,21.00,2
0x107010349013305354381890,1517375977.747,0,-32,0,1,21.00,2
0x107010349013305354381890,1517375977.810,0,-31,0,1,21.00,2
0x107010349013305354381890,1517375977.829,0,-28,0,1,21.00,3
0x107010349013305354381890,1517375977.904,0,-29,0,1,21.00,3
0x107010349013305354381890,1517375978.060,0,-32,0,1,21.00,2
0x107010349013305354381890,1517375978.104,0,-32,0,1,21.00,2
0x107010349013305354381890,1517375978.132,0,-27,0,1,21.00,3
0x107010349013305354381890,1517375978.393,0,-29,0,1,21.00,3
0x107010349013305354381890,1517375978.682,0,-29,0,1,21.00,3
0x107010349013305354381890,1517375978.738,0,-29,0,1,21.00,3
0x107010349013305354381890,1517375978.909,0,-29,0,1,21.00,3
0x107010349013305354381890,1517375978.956,0,-29,0,1,21.00,3
0x107010349013305354381890,1517375979.142,0,-29,0,1,21.00,3
0x107010349013305354381890,1517375979.362,0,-29,0,1,21.00,3
0x107010349013305354381890,1517375979.579,0,-28,0,1,21.00,3
0x107010349013305354381890,1517375979.769,0,-29,0,1,21.00,3
0x107010349013305354381890,1517375979.792,0,-28,0,1,21.00,3
0x107010349013305354381890,1517375980.212,0,-28,0,1,21.00,3
0x107010349013305354381890,1517375980.622,0,-29,0,1,21.00,3
0x107010349013305354381890,1517375980.666,0,-29,0,1,21.00,3
0x107010349013305354381890,1517375980.867,0,-29,0,1,21.00,3
0x107010349013305354381890,1517375981.064,0,-29,0,1,21.00,3
0x107010349013305354381890,1517375981.097,0,-28,0,1,21.00,3
0x107010349013305354381890,1517375981.492,0,-33,0,1,21.00,2
0x107010349013305354381890,1517375981.536,0,-33,0,1,21.00,2
0x107010349013305354381890,1517375981.597,0,-29,0,1,21.00,3
0x107010349013305354381890,1517375981.807,0,-29,0,1,21.00,3
0x107010349013305354381890,1517375981.852,0,-29,0,1,21.00,3
0x107010349013305354381890,1517375982.017,0,-32,0,1,21.00,2
0x107010349013305354381890,1517375982.079,0,-32,0,1,21.00,2
0x107010349013305354381890,1517375982.326,0,-33,0,1,21.00,2
0x107010349013305354381890,1517375982.362,0,-33,0,1,21.00,2
0x107010349013305354381890,1517375982.501,0,-29,0,1,21.00,3
0x107010349013305354381890,1517375982.716,0,-33,0,1,21.00,2
0x107010349013305354381890,1517375982.759,0,-33,0,1,21.00,2
0x107010349013305354381890,1517375983.040,0,-29,0,1,21.00,3
0x107010349013305354381890,1517375983.071,0,-27,0,1,21.00,3
0x107010349013305354381890,1517375983.255,0,-33,0,1,21.00,2
0x107010349013305354381890,1517375983.299,0,-33,0,1,21.00,2
0x107010349013305354381890,1517375983.577,0,-33,0,1,21.00,2
0x107010349013305354381890,1517375983.627,0,-33,0,1,21.00,2
0x107010349013305354381890,1517375983.659,0,-28,0,1,21.00,3
0x107010349013305354381890,1517375983.952,0,-29,0,1,21.00,3
0x107010349013305354381890,1517375984.364,0,-33,0,1,21.00,2
0x107010349013305354381890,1517375984.411,0,-34,0,1,21.00,2
0x107010349013305354381890,1517375984.467,0,-29,0,1,21.00,3
0x107010349013305354381890,1517375984.663,0,-27,0,1,21.00,3
0x107010349013305354381890,1517375984.907,0,-27,0,1,21.00,3
0x107010349013305354381890,1517375984.983,0,-29,0,1,21.00,3
0x107010349013305354381890,1517375985.414,0,-29,0,1,21.00,3
0x000000000000000000004005,1517375974.801,0,-31,0,1,21.00,3
0x000000000000000000004005,1517375974.845,0,-31,0,1,21.00,3
0x000000000000000000004005,1517375975.022,0,-31,0,1,21.00,3
0x000000000000000000004005,1517375975.095,0,-31,0,1,21.00,3
