MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 2:31:18 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010249722621700351874,1517376664.097,0,-31,0,1,21.00,3
0x107010249722621700351874,1517376664.141,0,-31,0,1,21.00,3
0x107010249722621700351874,1517376664.864,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376664.901,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376665.169,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376665.225,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376665.495,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376665.801,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376666.318,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376667.018,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376667.209,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376667.468,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376667.734,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376668.137,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376668.569,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376668.617,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376669.063,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376669.224,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376669.270,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376670.726,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376670.912,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376670.955,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376671.223,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376671.295,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376671.599,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376671.965,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376672.842,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376673.033,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376673.308,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376673.602,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376673.839,0,-32,0,1,21.00,3
0x107010249722621700351874,1517376674.039,0,-32,0,1,21.00,3
0x000000000000000000004005,1517376664.108,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376664.150,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376664.331,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376664.360,0,-26,0,1,21.00,3
0x000000000000000000004005,1517376664.548,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376664.591,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376664.749,0,-32,0,1,21.00,2
0x000000000000000000004005,1517376664.807,0,-31,0,1,21.00,2
0x000000000000000000004005,1517376665.059,0,-32,0,1,21.00,2
0x000000000000000000004005,1517376665.100,0,-32,0,1,21.00,2
0x000000000000000000004005,1517376665.405,0,-32,0,1,21.00,2
0x000000000000000000004005,1517376665.466,0,-28,0,1,21.00,3
0x000000000000000000004005,1517376665.539,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376665.717,0,-31,0,1,21.00,2
0x000000000000000000004005,1517376665.747,0,-28,0,1,21.00,3
0x000000000000000000004005,1517376666.017,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376666.230,0,-31,0,1,21.00,2
0x000000000000000000004005,1517376666.588,0,-31,0,1,21.00,2
0x000000000000000000004005,1517376666.619,0,-27,0,1,21.00,3
0x000000000000000000004005,1517376666.704,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376666.992,0,-28,0,1,21.00,3
0x000000000000000000004005,1517376667.707,0,-31,0,1,21.00,2
0x000000000000000000004005,1517376667.801,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376668.053,0,-32,0,1,21.00,2
0x000000000000000000004005,1517376668.089,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376668.123,0,-28,0,1,21.00,3
0x000000000000000000004005,1517376668.340,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376668.395,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376668.594,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376668.768,0,-27,0,1,21.00,3
0x000000000000000000004005,1517376668.840,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376669.027,0,-29,0,1,21.00,3
0x000000000000000000004005,1517376669.454,0,-29,0,1,21.00,3
