MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 8:19:31 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010449013305354211896,1515669557.096,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669557.144,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669557.325,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669557.355,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669557.539,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669557.580,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669557.747,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669557.788,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669557.970,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669558.002,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669558.166,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669558.219,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669558.505,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669558.799,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669559.032,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669559.086,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669559.256,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669559.286,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669559.547,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669559.605,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669559.888,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669560.112,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669560.315,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669560.474,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669560.546,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669560.828,0,-33,0,2,21.00,3
0x107010449013305354211896,1515669561.042,0,-34,0,3,21.00,3
0x107010449013305354211896,1515669561.096,0,-33,0,3,21.00,3
0x107010449013305354211896,1515669561.361,0,-34,0,3,21.00,3
0x107010449013305354211896,1515669561.408,0,-34,0,3,21.00,3
0x107010449013305354211896,1515669561.564,0,-34,0,3,21.00,3
0x107010449013305354211896,1515669561.621,0,-34,0,3,21.00,3
0x107010449013305354211896,1515669561.779,0,-34,0,3,21.00,3
0x107010449013305354211896,1515669562.106,0,-34,0,3,21.00,3
0x107010449013305354211896,1515669562.266,0,-33,0,3,21.00,3
0x107010449013305354211896,1515669562.321,0,-33,0,3,21.00,3
0x107010449013305354211896,1515669562.523,0,-33,0,3,21.00,3
0x107010449013305354211896,1515669562.676,0,-34,0,3,21.00,3
0x107010449013305354211896,1515669562.754,0,-33,0,3,21.00,3
0x107010449013305354211896,1515669562.954,0,-33,0,3,21.00,3
0x107010449013305354211896,1515669563.111,0,-34,0,3,21.00,3
0x107010449013305354211896,1515669563.162,0,-33,0,3,21.00,3
0x107010449013305354211896,1515669563.328,0,-33,0,3,21.00,3
0x107010449013305354211896,1515669563.534,0,-33,0,3,21.00,3
0x107010449013305354211896,1515669563.575,0,-34,0,3,21.00,3
0x107010449013305354211896,1515669563.755,0,-33,0,3,21.00,3
0x107010449013305354211896,1515669563.806,0,-33,0,3,21.00,3
0x107010449013305354211896,1515669563.960,0,-33,0,3,21.00,3
0x107010449013305354211896,1515669564.017,0,-33,0,3,21.00,3
0x107010449013305354211896,1515669564.169,0,-33,0,3,21.00,3
0x107010449013305354211896,1515669564.221,0,-33,0,3,21.00,3
0x107010449013305354211896,1515669564.433,0,-33,0,3,21.00,3
0x107010449013305354211896,1515669564.468,0,-33,0,3,21.00,3
0x107010449013305354211896,1515669564.750,0,-34,0,4,21.00,3
0x107010449013305354211896,1515669564.958,0,-34,0,4,21.00,3
0x107010449013305354211896,1515669565.148,0,-34,0,4,21.00,3
0x107010449013305354211896,1515669565.195,0,-34,0,4,21.00,3
0x107010449013305354211896,1515669565.373,0,-34,0,4,21.00,3
0x107010449013305354211896,1515669565.404,0,-34,0,4,21.00,3
0x107010449013305354211896,1515669565.676,0,-34,0,4,21.00,3
0x107010449013305354211896,1515669565.719,0,-34,0,4,21.00,3
0x107010449013305354211896,1515669566.387,0,-34,0,4,21.00,3
0x107010449013305354211896,1515669566.815,0,-34,0,4,21.00,3
0x106020349010851617841860,1515669557.110,0,-34,0,2,21.00,3
0x106020349010851617841860,1515669557.157,0,-34,0,2,21.00,3
0x106020349010851617841860,1515669557.313,0,-34,0,2,21.00,3
0x106020349010851617841860,1515669557.595,0,-34,0,2,21.00,3
0x106020349010851617841860,1515669557.812,0,-34,0,2,21.00,3
0x106020349010851617841860,1515669557.992,0,-34,0,2,21.00,3
0x106020349010851617841860,1515669558.152,0,-34,0,2,21.00,3
0x106020349010851617841860,1515669558.198,0,-34,0,2,21.00,3
0x106020349010851617841860,1515669558.444,0,-34,0,2,21.00,3
0x106020349010851617841860,1515669558.494,0,-34,0,2,21.00,3
0x106020349010851617841860,1515669558.746,0,-34,0,2,21.00,3
0x106020349010851617841860,1515669558.808,0,-34,0,2,21.00,3
0x106020349010851617841860,1515669559.095,0,-34,0,2,21.00,3
0x106020349010851617841860,1515669559.595,0,-34,0,2,21.00,3
0x106020349010851617841860,1515669559.818,0,-34,0,2,21.00,3
0x106020349010851617841860,1515669559.878,0,-34,0,2,21.00,3
0x106020349010851617841860,1515669560.067,0,-34,0,2,21.00,3
0x106020349010851617841860,1515669560.099,0,-34,0,2,21.00,3
0x106020349010851617841860,1515669560.256,0,-34,0,2,21.00,3
0x106020349010851617841860,1515669560.325,0,-34,0,2,21.00,3
0x106020349010851617841860,1515669560.535,0,-34,0,2,21.00,3
0x106020349010851617841860,1515669560.761,0,-34,0,2,21.00,3
0x106020349010851617841860,1515669560.839,0,-34,0,2,21.00,3
0x106020349010851617841860,1515669561.851,0,-34,0,3,21.00,3
0x106020349010851617841860,1515669562.311,0,-34,0,3,21.00,3
0x106020349010851617841860,1515669562.477,0,-34,0,3,21.00,3
0x106020349010851617841860,1515669562.510,0,-34,0,3,21.00,3
0x106020349010851617841860,1515669562.702,0,-34,0,3,21.00,3
0x106020349010851617841860,1515669562.915,0,-34,0,3,21.00,3
0x106020349010851617841860,1515669562.970,0,-34,0,3,21.00,3
0x106020349010851617841860,1515669563.319,0,-34,0,3,21.00,3
0x106020349010851617841860,1515669563.599,0,-34,0,3,21.00,3
0x106020349010851617841860,1515669563.789,0,-34,0,3,21.00,3
0x106020349010851617841860,1515669563.969,0,-34,0,3,21.00,3
0x106020349010851617841860,1515669564.005,0,-34,0,3,21.00,3
0x106020349010851617841860,1515669564.188,0,-34,0,3,21.00,3
0x106020349010851617841860,1515669564.423,0,-34,0,3,21.00,3
0x106020349010851617841860,1515669564.777,0,-34,0,4,21.00,3
0x106020349010851617841860,1515669564.947,0,-34,0,4,21.00,3
0x106020349010851617841860,1515669565.009,0,-34,0,4,21.00,3
0x106020349010851617841860,1515669565.208,0,-34,0,4,21.00,3
0x106020349010851617841860,1515669565.385,0,-34,0,4,21.00,3
0x106020349010851617841860,1515669565.686,0,-34,0,4,21.00,3
0x106020349010851617841860,1515669565.905,0,-34,0,4,21.00,3
0x106020349010851617841860,1515669566.181,0,-34,0,4,21.00,3
0x106020349010851617841860,1515669566.377,0,-34,0,4,21.00,3
0x106020349010851617841860,1515669566.416,0,-34,0,4,21.00,3
0x106020349010851617841860,1515669566.576,0,-34,0,4,21.00,3
0x106020349010851617841860,1515669566.630,0,-34,0,4,21.00,3
0x106020349010851617841860,1515669567.095,0,-34,0,4,21.00,3
0x107010249722621700351874,1515669557.120,0,-31,0,2,21.00,3
0x107010249722621700351874,1515669557.365,0,-31,0,2,21.00,3
0x107010249722621700351874,1515669557.524,0,-31,0,2,21.00,3
0x107010249722621700351874,1515669557.571,0,-31,0,2,21.00,3
0x107010249722621700351874,1515669557.760,0,-31,0,2,21.00,3
0x107010249722621700351874,1515669557.802,0,-31,0,2,21.00,3
0x107010249722621700351874,1515669557.953,0,-31,0,2,21.00,3
0x107010249722621700351874,1515669558.015,0,-31,0,2,21.00,3
0x107010249722621700351874,1515669558.208,0,-31,0,2,21.00,3
0x107010249722621700351874,1515669558.454,0,-31,0,2,21.00,3
0x107010249722621700351874,1515669558.481,0,-31,0,2,21.00,3
0x107010249722621700351874,1515669558.735,0,-31,0,2,21.00,3
0x107010249722621700351874,1515669558.782,0,-31,0,2,21.00,3
0x107010249722621700351874,1515669559.046,0,-31,0,2,21.00,3
0x107010249722621700351874,1515669559.074,0,-31,0,2,21.00,3
0x107010249722621700351874,1515669559.242,0,-31,0,2,21.00,3
0x107010249722621700351874,1515669559.296,0,-31,0,2,21.00,3
0x107010249722621700351874,1515669559.534,0,-31,0,2,21.00,3
0x107010249722621700351874,1515669559.584,0,-31,0,2,21.00,3
0x107010249722621700351874,1515669559.829,0,-31,0,2,21.00,3
0x107010249722621700351874,1515669559.864,0,-31,0,2,21.00,3
0x107010249722621700351874,1515669560.050,0,-31,0,2,21.00,3
