MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 8:03:58 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010249722621700351874,1515668625.334,0,-29,0,3,21.00,3
0x107010249722621700351874,1515668625.368,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668625.540,0,-29,0,3,21.00,3
0x107010249722621700351874,1515668625.592,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668625.753,0,-30,0,3,21.00,3
0x107010249722621700351874,1515668625.821,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668625.991,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668626.047,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668626.193,0,-30,0,3,21.00,3
0x107010249722621700351874,1515668626.249,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668626.421,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668626.448,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668626.646,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668626.658,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668627.091,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668627.109,0,-29,0,3,21.00,3
0x107010249722621700351874,1515668627.181,0,-30,0,3,21.00,3
0x107010249722621700351874,1515668627.257,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668627.418,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668627.469,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668627.629,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668627.657,0,-30,0,3,21.00,3
0x107010249722621700351874,1515668627.734,0,-30,0,3,21.00,3
0x107010249722621700351874,1515668627.804,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668627.966,0,-32,0,3,21.00,3
0x107010249722621700351874,1515668628.009,0,-32,0,3,21.00,3
0x107010249722621700351874,1515668628.071,0,-29,0,3,21.00,3
0x107010249722621700351874,1515668628.144,0,-32,0,3,21.00,3
0x107010249722621700351874,1515668628.361,0,-32,0,3,21.00,3
0x107010249722621700351874,1515668628.393,0,-32,0,3,21.00,3
0x107010249722621700351874,1515668628.482,0,-32,0,3,21.00,3
0x107010249722621700351874,1515668628.515,0,-32,0,3,21.00,3
0x107010249722621700351874,1515668628.734,0,-32,0,3,21.00,3
0x107010249722621700351874,1515668628.975,0,-31,0,3,21.00,3
0x107010249722621700351874,1515668629.162,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668629.188,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668629.426,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668629.476,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668629.659,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668629.716,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668629.966,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668630.005,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668630.208,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668630.246,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668630.427,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668630.467,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668630.633,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668630.665,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668630.981,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668631.040,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668631.289,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668631.342,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668631.505,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668631.554,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668631.742,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668631.783,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668632.122,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668632.177,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668632.255,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668632.313,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668632.454,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668632.511,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668632.713,0,-32,0,4,21.00,3
0x107010249722621700351874,1515668632.783,0,-32,0,4,21.00,3
