MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 1:27:43 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006071,1517372843.285,0,-30,0,1,21.00,1
0x000000000000000000006071,1517372843.322,0,-30,0,1,21.00,1
0x000000000000000000006071,1517372843.449,0,-26,0,1,21.00,4
0x000000000000000000006071,1517372843.498,0,-25,0,1,21.00,4
0x000000000000000000006071,1517372843.674,0,-26,0,1,21.00,4
0x000000000000000000006071,1517372843.725,0,-26,0,1,21.00,4
0x000000000000000000006071,1517372843.892,0,-26,0,1,21.00,4
0x000000000000000000006071,1517372843.952,0,-27,0,1,21.00,4
0x000000000000000000006071,1517372844.023,0,-27,0,1,21.00,1
0x000000000000000000006071,1517372844.050,0,-27,0,1,21.00,1
0x000000000000000000006071,1517372844.105,0,-27,0,1,21.00,2
0x000000000000000000006071,1517372844.163,0,-26,0,1,21.00,2
0x000000000000000000006071,1517372844.302,0,-26,0,1,21.00,4
0x000000000000000000006071,1517372844.359,0,-26,0,1,21.00,4
0x000000000000000000006071,1517372844.433,0,-28,0,1,21.00,1
0x000000000000000000006071,1517372844.477,0,-28,0,1,21.00,1
0x000000000000000000006071,1517372844.535,0,-26,0,1,21.00,2
0x000000000000000000006071,1517372844.619,0,-32,0,1,21.00,3
0x000000000000000000006071,1517372844.677,0,-32,0,1,21.00,3
0x000000000000000000006071,1517372844.744,0,-26,0,1,21.00,4
0x000000000000000000006071,1517372844.849,0,-32,0,1,21.00,3
0x000000000000000000006071,1517372844.899,0,-32,0,1,21.00,3
0x000000000000000000006071,1517372844.928,0,-26,0,1,21.00,4
0x000000000000000000006071,1517372844.987,0,-26,0,1,21.00,4
0x000000000000000000006071,1517372845.067,0,-29,0,1,21.00,1
0x000000000000000000006071,1517372845.104,0,-29,0,1,21.00,1
0x000000000000000000006071,1517372845.200,0,-26,0,1,21.00,2
0x000000000000000000006071,1517372845.330,0,-25,0,1,21.00,4
0x000000000000000000006071,1517372845.383,0,-25,0,1,21.00,4
0x000000000000000000006071,1517372845.457,0,-29,0,1,21.00,1
0x000000000000000000006071,1517372845.496,0,-29,0,1,21.00,1
0x000000000000000000006071,1517372845.525,0,-26,0,1,21.00,2
0x000000000000000000006071,1517372845.608,0,-26,0,1,21.00,2
0x000000000000000000006071,1517372845.715,0,-33,0,1,21.00,3
0x000000000000000000006071,1517372845.776,0,-25,0,1,21.00,4
0x000000000000000000006071,1517372845.879,0,-29,0,1,21.00,1
0x000000000000000000006071,1517372846.092,0,-25,0,1,21.00,4
0x000000000000000000006071,1517372846.138,0,-25,0,1,21.00,4
0x000000000000000000006071,1517372846.210,0,-29,0,1,21.00,1
0x000000000000000000006071,1517372846.254,0,-29,0,1,21.00,1
0x000000000000000000006071,1517372846.283,0,-26,0,1,21.00,2
0x000000000000000000006071,1517372846.347,0,-26,0,1,21.00,2
0x000000000000000000006071,1517372846.419,0,-33,0,1,21.00,3
0x000000000000000000006071,1517372846.480,0,-25,0,1,21.00,4
0x000000000000000000006071,1517372846.541,0,-26,0,1,21.00,4
0x000000000000000000006071,1517372846.631,0,-29,0,1,21.00,1
0x000000000000000000006071,1517372846.669,0,-29,0,1,21.00,1
0x000000000000000000006071,1517372846.715,0,-26,0,1,21.00,2
0x000000000000000000006071,1517372846.754,0,-26,0,1,21.00,2
0x000000000000000000006071,1517372846.900,0,-25,0,1,21.00,4
0x000000000000000000006071,1517372846.955,0,-25,0,1,21.00,4
0x000000000000000000006071,1517372847.026,0,-29,0,1,21.00,1
0x000000000000000000006071,1517372847.137,0,-29,0,1,21.00,1
0x000000000000000000006071,1517372847.212,0,-25,0,1,21.00,2
0x000000000000000000006071,1517372847.296,0,-31,0,1,21.00,3
0x000000000000000000006071,1517372847.331,0,-31,0,1,21.00,3
0x000000000000000000006071,1517372847.357,0,-26,0,1,21.00,4
0x000000000000000000006071,1517372847.416,0,-26,0,1,21.00,4
0x000000000000000000006071,1517372847.477,0,-28,0,1,21.00,1
0x000000000000000000006071,1517372847.510,0,-28,0,1,21.00,1
0x000000000000000000006071,1517372847.555,0,-26,0,1,21.00,2
0x000000000000000000006071,1517372847.605,0,-27,0,1,21.00,2
0x000000000000000000006071,1517372847.644,0,-32,0,1,21.00,3
0x000000000000000000006071,1517372847.695,0,-32,0,1,21.00,3
0x000000000000000000006071,1517372847.730,0,-26,0,1,21.00,4
0x000000000000000000006071,1517372847.773,0,-26,0,1,21.00,4
0x000000000000000000006071,1517372847.842,0,-28,0,1,21.00,1
0x000000000000000000006071,1517372848.007,0,-26,0,1,21.00,4
0x000000000000000000006071,1517372848.056,0,-26,0,1,21.00,4
0x000000000000000000006071,1517372848.156,0,-28,0,1,21.00,1
0x000000000000000000006071,1517372848.316,0,-26,0,1,21.00,4
0x000000000000000000006071,1517372848.363,0,-26,0,1,21.00,4
0x000000000000000000006071,1517372848.449,0,-27,0,1,21.00,1
0x000000000000000000006071,1517372848.592,0,-26,0,1,21.00,4
0x000000000000000000006071,1517372848.646,0,-26,0,1,21.00,4
0x000000000000000000006071,1517372848.709,0,-28,0,1,21.00,1
0x000000000000000000006071,1517372848.751,0,-27,0,1,21.00,1
0x000000000000000000006071,1517372848.806,0,-26,0,1,21.00,2
0x000000000000000000006071,1517372848.869,0,-26,0,1,21.00,2
0x000000000000000000006071,1517372848.946,0,-32,0,1,21.00,3
0x000000000000000000006071,1517372848.984,0,-26,0,1,21.00,4
0x000000000000000000006071,1517372849.033,0,-26,0,1,21.00,4
0x000000000000000000006071,1517372849.128,0,-28,0,1,21.00,1
0x000000000000000000006071,1517372849.185,0,-28,0,1,21.00,1
0x000000000000000000006071,1517372849.250,0,-27,0,1,21.00,2
0x000000000000000000006071,1517372849.294,0,-27,0,1,21.00,2
0x000000000000000000006071,1517372849.417,0,-26,0,1,21.00,4
0x000000000000000000006071,1517372849.467,0,-26,0,1,21.00,4
0x000000000000000000006071,1517372849.553,0,-30,0,1,21.00,1
0x000000000000000000006071,1517372849.597,0,-30,0,1,21.00,1
0x000000000000000000006071,1517372849.668,0,-33,0,1,21.00,3
0x000000000000000000006071,1517372849.729,0,-34,0,1,21.00,3
0x000000000000000000006071,1517372849.803,0,-25,0,1,21.00,4
0x000000000000000000006071,1517372849.874,0,-29,0,1,21.00,1
0x000000000000000000006071,1517372849.943,0,-30,0,1,21.00,1
0x000000000000000000006071,1517372849.990,0,-27,0,1,21.00,2
0x000000000000000000006071,1517372850.024,0,-27,0,1,21.00,2
0x000000000000000000006071,1517372850.149,0,-26,0,1,21.00,4
0x000000000000000000006071,1517372850.194,0,-26,0,1,21.00,4
0x000000000000000000006071,1517372850.278,0,-30,0,1,21.00,1
0x000000000000000000006071,1517372850.341,0,-30,0,1,21.00,1
0x000000000000000000006071,1517372850.383,0,-27,0,1,21.00,2
0x000000000000000000006071,1517372850.432,0,-26,0,1,21.00,2
0x000000000000000000006071,1517372850.569,0,-26,0,1,21.00,4
0x000000000000000000006071,1517372850.626,0,-26,0,1,21.00,4
0x000000000000000000006071,1517372850.699,0,-30,0,1,21.00,1
0x000000000000000000006071,1517372850.745,0,-30,0,1,21.00,1
0x000000000000000000006071,1517372850.886,0,-26,0,1,21.00,4
0x000000000000000000006071,1517372851.028,0,-26,0,1,21.00,4
0x000000000000000000006071,1517372851.095,0,-30,0,1,21.00,1
0x000000000000000000006071,1517372851.134,0,-29,0,1,21.00,1
0x000000000000000000006071,1517372851.175,0,-27,0,1,21.00,2
0x000000000000000000006071,1517372851.220,0,-27,0,1,21.00,2
0x000000000000000000006071,1517372851.356,0,-26,0,1,21.00,4
0x000000000000000000006071,1517372851.401,0,-26,0,1,21.00,4
0x000000000000000000006071,1517372851.513,0,-33,0,1,21.00,3
0x000000000000000000006071,1517372851.582,0,-26,0,1,21.00,4
0x000000000000000000006071,1517372851.638,0,-26,0,1,21.00,4
0x000000000000000000006071,1517372851.747,0,-27,0,1,21.00,2
0x000000000000000000006071,1517372851.830,0,-33,0,1,21.00,3
0x000000000000000000006071,1517372851.956,0,-25,0,1,21.00,4
0x000000000000000000006071,1517372852.038,0,-33,0,1,21.00,3
0x000000000000000000006071,1517372852.171,0,-26,0,1,21.00,4
0x000000000000000000006071,1517372852.250,0,-29,0,1,21.00,1
0x000000000000000000006071,1517372852.293,0,-29,0,1,21.00,1
0x000000000000000000006071,1517372852.341,0,-27,0,1,21.00,2
0x000000000000000000006071,1517372852.486,0,-33,0,1,21.00,3
0x000000000000000000006071,1517372852.550,0,-33,0,1,21.00,3
0x000000000000000000006071,1517372852.615,0,-26,0,1,21.00,4
0x000000000000000000006071,1517372852.689,0,-29,0,1,21.00,1
0x000000000000000000006071,1517372852.733,0,-29,0,1,21.00,1
0x000000000000000000006071,1517372852.894,0,-26,0,1,21.00,4
0x000000000000000000006071,1517372852.938,0,-26,0,1,21.00,4
0x000000000000000000004005,1517372843.375,0,-29,0,1,21.00,3
0x000000000000000000004005,1517372843.401,0,-28,0,1,21.00,3
0x000000000000000000004005,1517372843.609,0,-29,0,1,21.00,3
0x000000000000000000004005,1517372843.837,0,-29,0,1,21.00,3
0x000000000000000000004005,1517372844.115,0,-30,0,1,21.00,2
0x000000000000000000004005,1517372844.173,0,-30,0,1,21.00,2
0x000000000000000000004005,1517372844.239,0,-29,0,1,21.00,3
0x000000000000000000004005,1517372844.607,0,-29,0,1,21.00,3
0x000000000000000000004005,1517372844.651,0,-29,0,1,21.00,3
0x000000000000000000004005,1517372844.861,0,-29,0,1,21.00,3
0x000000000000000000004005,1517372844.879,0,-28,0,1,21.00,3
0x000000000000000000004005,1517372845.162,0,-30,0,1,21.00,2
0x000000000000000000004005,1517372845.211,0,-30,0,1,21.00,2
0x000000000000000000004005,1517372845.269,0,-29,0,1,21.00,3
0x000000000000000000004005,1517372845.551,0,-30,0,1,21.00,2
0x000000000000000000004005,1517372845.673,0,-27,0,1,21.00,3
0x000000000000000000004005,1517372846.041,0,-29,0,1,21.00,3
0x000000000000000000004005,1517372846.297,0,-30,0,1,21.00,2
0x000000000000000000004005,1517372846.370,0,-30,0,1,21.00,2
0x000000000000000000004005,1517372846.427,0,-28,0,1,21.00,3
0x000000000000000000004005,1517372846.703,0,-30,0,1,21.00,2
0x000000000000000000004005,1517372846.764,0,-30,0,1,21.00,2
0x000000000000000000004005,1517372846.843,0,-27,0,1,21.00,3
0x000000000000000000004005,1517372847.181,0,-30,0,1,21.00,2
0x000000000000000000004005,1517372847.226,0,-31,0,1,21.00,2
0x000000000000000000004005,1517372847.575,0,-30,0,1,21.00,2
0x000000000000000000004005,1517372847.655,0,-29,0,1,21.00,3
0x000000000000000000004005,1517372847.708,0,-29,0,1,21.00,3
0x000000000000000000004005,1517372847.918,0,-29,0,1,21.00,3
0x000000000000000000004005,1517372847.971,0,-29,0,1,21.00,3
0x000000000000000000004005,1517372848.250,0,-29,0,1,21.00,3
0x000000000000000000004005,1517372848.538,0,-29,0,1,21.00,3
0x000000000000000000004005,1517372848.825,0,-30,0,1,21.00,2
0x000000000000000000004005,1517372848.900,0,-29,0,1,21.00,3
0x000000000000000000004005,1517372848.968,0,-29,0,1,21.00,3
0x000000000000000000004005,1517372849.284,0,-30,0,1,21.00,2
0x000000000000000000004005,1517372849.343,0,-29,0,1,21.00,3
0x000000000000000000004005,1517372849.378,0,-29,0,1,21.00,3
0x000000000000000000004005,1517372849.656,0,-29,0,1,21.00,3
0x000000000000000000004005,1517372849.689,0,-28,0,1,21.00,3
0x000000000000000000004005,1517372849.980,0,-30,0,1,21.00,2
0x000000000000000000004005,1517372850.034,0,-30,0,1,21.00,2
0x000000000000000000004005,1517372850.074,0,-29,0,1,21.00,3
0x000000000000000000004005,1517372850.109,0,-27,0,1,21.00,3
0x000000000000000000004005,1517372850.397,0,-30,0,1,21.00,2
0x000000000000000000004005,1517372850.446,0,-30,0,1,21.00,2
0x000000000000000000004005,1517372850.496,0,-29,0,1,21.00,3
0x000000000000000000004005,1517372850.548,0,-29,0,1,21.00,3
0x000000000000000000004005,1517372850.798,0,-29,0,1,21.00,3
0x000000000000000000004005,1517372850.848,0,-29,0,1,21.00,3
0x000000000000000000004005,1517372851.202,0,-30,0,1,21.00,2
0x000000000000000000004005,1517372851.292,0,-29,0,1,21.00,3
0x000000000000000000004005,1517372851.470,0,-26,0,1,21.00,3
0x000000000000000000004005,1517372851.540,0,-29,0,1,21.00,3
0x000000000000000000004005,1517372851.733,0,-30,0,1,21.00,2
0x000000000000000000004005,1517372851.792,0,-30,0,1,21.00,2
0x000000000000000000004005,1517372851.848,0,-27,0,1,21.00,3
0x000000000000000000004005,1517372852.062,0,-29,0,1,21.00,3
0x000000000000000000004005,1517372852.390,0,-30,0,1,21.00,2
0x000000000000000000004005,1517372852.430,0,-30,0,1,21.00,2
0x000000000000000000004005,1517372852.461,0,-29,0,1,21.00,3
0x000000000000000000004005,1517372852.505,0,-27,0,1,21.00,3
0x000000000000000000004005,1517372852.810,0,-29,0,1,21.00,3
0x000000000000000000004005,1517372852.868,0,-29,0,1,21.00,3
0x107010249722621700351874,1517372843.386,0,-30,0,1,21.00,3
0x107010249722621700351874,1517372843.423,0,-30,0,1,21.00,3
0x107010249722621700351874,1517372843.587,0,-30,0,1,21.00,3
0x107010249722621700351874,1517372843.656,0,-30,0,1,21.00,3
0x107010249722621700351874,1517372843.867,0,-30,0,1,21.00,3
0x107010249722621700351874,1517372845.259,0,-31,0,1,21.00,3
0x107010249722621700351874,1517372845.296,0,-31,0,1,21.00,3
0x107010249722621700351874,1517372845.640,0,-31,0,1,21.00,3
0x107010249722621700351874,1517372845.701,0,-31,0,1,21.00,3
0x107010249722621700351874,1517372846.409,0,-31,0,1,21.00,3
