MultiReader - Tags Read History Results
Test Description: 
Test Date: 12/28/17  Time: 4:45:17 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000001116,1514447103.438,0,-29,0,3,21.00,4
0x000000000000000000001116,1514447103.739,0,-29,0,3,21.00,4
0x000000000000000000001116,1514447103.837,0,-29,0,3,21.00,4
0x000000000000000000001116,1514447104.045,0,-29,0,3,21.00,4
0x000000000000000000001116,1514447104.228,0,-30,0,3,21.00,4
0x000000000000000000001116,1514447104.284,0,-30,0,3,21.00,4
0x000000000000000000001116,1514447104.353,0,-30,0,3,21.00,4
0x000000000000000000001116,1514447104.396,0,-30,0,3,21.00,4
0x000000000000000000001116,1514447104.569,0,-30,0,3,21.00,4
0x000000000000000000001116,1514447104.628,0,-30,0,3,21.00,4
0x000000000000000000001116,1514447104.730,0,-30,0,3,21.00,4
0x000000000000000000001116,1514447104.816,0,-30,0,3,21.00,4
0x000000000000000000001116,1514447104.866,0,-30,0,3,21.00,4
0x000000000000000000001116,1514447105.099,0,-30,0,3,21.00,4
0x000000000000000000001116,1514447105.159,0,-30,0,3,21.00,4
0x000000000000000000001116,1514447105.380,0,-30,0,3,21.00,4
0x000000000000000000001116,1514447105.421,0,-29,0,3,21.00,4
0x000000000000000000001116,1514447105.505,0,-29,0,3,21.00,4
0x000000000000000000001116,1514447105.539,0,-29,0,3,21.00,4
0x000000000000000000001116,1514447105.874,0,-30,0,3,21.00,4
0x000000000000000000001116,1514447105.973,0,-30,0,3,21.00,4
0x000000000000000000001116,1514447106.025,0,-30,0,3,21.00,4
0x000000000000000000001116,1514447106.119,0,-30,0,3,21.00,4
0x000000000000000000001116,1514447106.312,0,-30,0,3,21.00,4
0x000000000000000000001116,1514447106.346,0,-30,0,3,21.00,4
0x000000000000000000001116,1514447106.419,0,-33,0,3,21.00,2
0x000000000000000000001116,1514447106.465,0,-33,0,3,21.00,2
0x000000000000000000001116,1514447106.546,0,-30,0,3,21.00,4
0x000000000000000000001116,1514447106.591,0,-30,0,3,21.00,4
0x000000000000000000001116,1514447106.685,0,-30,0,3,21.00,4
0x000000000000000000001116,1514447106.712,0,-30,0,3,21.00,4
0x000000000000000000001116,1514447106.801,0,-30,0,3,21.00,4
0x000000000000000000001116,1514447106.911,0,-30,0,3,21.00,4
0x000000000000000000001116,1514447107.491,0,-30,0,4,21.00,4
0x000000000000000000001116,1514447107.560,0,-30,0,4,21.00,4
0x000000000000000000001116,1514447107.678,0,-30,0,4,21.00,4
0x000000000000000000001116,1514447107.790,0,-30,0,4,21.00,4
0x000000000000000000001116,1514447107.942,0,-30,0,4,21.00,4
0x000000000000000000001116,1514447108.143,0,-30,0,4,21.00,4
0x000000000000000000001116,1514447108.186,0,-30,0,4,21.00,4
0x000000000000000000001116,1514447108.475,0,-30,0,4,21.00,4
0x000000000000000000001116,1514447108.512,0,-30,0,4,21.00,4
0x000000000000000000001116,1514447108.662,0,-30,0,4,21.00,4
0x000000000000000000001116,1514447108.710,0,-30,0,4,21.00,4
0x000000000000000000001116,1514447108.871,0,-30,0,4,21.00,4
0x000000000000000000001116,1514447108.899,0,-30,0,4,21.00,4
0x000000000000000000001116,1514447109.002,0,-30,0,4,21.00,4
0x000000000000000000001116,1514447109.111,0,-30,0,4,21.00,4
0x000000000000000000001116,1514447109.168,0,-30,0,4,21.00,4
0x000000000000000000001116,1514447109.322,0,-30,0,4,21.00,4
0x000000000000000000001116,1514447109.429,0,-30,0,4,21.00,4
0x000000000000000000001116,1514447109.476,0,-30,0,4,21.00,4
