MultiReader - Tags Read History Results
Test Description: 
Test Date: 12/28/17  Time: 5:10:48 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000001134,1514448633.796,0,-34,0,3,21.00,2
0x000000000000000000001134,1514448633.951,0,-31,0,3,21.00,4
0x000000000000000000001134,1514448634.296,0,-31,0,3,21.00,4
0x000000000000000000001134,1514448634.378,0,-34,0,3,21.00,2
0x000000000000000000001134,1514448634.625,0,-31,0,3,21.00,4
0x000000000000000000001134,1514448634.812,0,-32,0,3,21.00,4
0x000000000000000000001134,1514448634.984,0,-31,0,3,21.00,4
0x000000000000000000001134,1514448635.017,0,-31,0,3,21.00,4
0x000000000000000000001134,1514448635.357,0,-31,0,3,21.00,4
0x000000000000000000001134,1514448635.424,0,-31,0,3,21.00,4
0x000000000000000000001134,1514448635.539,0,-31,0,3,21.00,4
0x000000000000000000001134,1514448635.712,0,-31,0,3,21.00,4
0x000000000000000000001134,1514448635.787,0,-31,0,3,21.00,4
0x000000000000000000001134,1514448635.983,0,-31,0,3,21.00,4
0x000000000000000000001134,1514448636.203,0,-31,0,3,21.00,4
0x000000000000000000001134,1514448636.424,0,-31,0,3,21.00,4
0x000000000000000000001134,1514448636.646,0,-31,0,3,21.00,4
0x000000000000000000001134,1514448636.690,0,-31,0,3,21.00,4
0x000000000000000000001134,1514448636.851,0,-31,0,3,21.00,4
0x000000000000000000001134,1514448636.902,0,-31,0,3,21.00,4
0x000000000000000000001134,1514448637.163,0,-31,0,3,21.00,4
0x000000000000000000001134,1514448637.223,0,-31,0,3,21.00,4
0x000000000000000000001134,1514448637.397,0,-31,0,3,21.00,4
0x000000000000000000001134,1514448637.821,0,-33,0,4,21.00,2
0x000000000000000000001134,1514448637.868,0,-34,0,4,21.00,2
0x000000000000000000001134,1514448638.014,0,-32,0,4,21.00,4
0x000000000000000000001134,1514448638.158,0,-33,0,4,21.00,2
0x000000000000000000001134,1514448638.250,0,-32,0,4,21.00,4
0x000000000000000000001134,1514448638.467,0,-32,0,4,21.00,4
0x000000000000000000001134,1514448638.508,0,-32,0,4,21.00,4
0x000000000000000000001134,1514448638.684,0,-32,0,4,21.00,4
0x000000000000000000001134,1514448638.792,0,-33,0,4,21.00,2
0x000000000000000000001134,1514448638.817,0,-33,0,4,21.00,2
0x000000000000000000001134,1514448638.910,0,-32,0,4,21.00,4
0x000000000000000000001134,1514448639.000,0,-33,0,4,21.00,2
0x000000000000000000001134,1514448639.040,0,-34,0,4,21.00,2
0x000000000000000000001134,1514448639.111,0,-32,0,4,21.00,4
0x000000000000000000001134,1514448639.142,0,-32,0,4,21.00,4
0x000000000000000000001134,1514448639.323,0,-32,0,4,21.00,4
0x000000000000000000001134,1514448639.364,0,-32,0,4,21.00,4
0x000000000000000000001134,1514448639.538,0,-32,0,4,21.00,4
0x000000000000000000001134,1514448639.560,0,-30,0,4,21.00,4
0x000000000000000000001134,1514448639.661,0,-32,0,4,21.00,4
0x000000000000000000001134,1514448639.699,0,-32,0,4,21.00,4
0x000000000000000000001134,1514448639.766,0,-34,0,4,21.00,2
0x000000000000000000001134,1514448639.797,0,-34,0,4,21.00,2
0x000000000000000000001134,1514448640.046,0,-34,0,4,21.00,2
0x000000000000000000001134,1514448640.084,0,-34,0,4,21.00,2
0x000000000000000000001134,1514448640.158,0,-32,0,4,21.00,4
0x000000000000000000001134,1514448640.186,0,-32,0,4,21.00,4
0x000000000000000000001134,1514448640.258,0,-34,0,4,21.00,2
0x000000000000000000001134,1514448640.305,0,-34,0,4,21.00,2
0x000000000000000000001134,1514448640.460,0,-32,0,4,21.00,4
0x000000000000000000001134,1514448640.773,0,-34,0,4,21.00,2
0x000000000000000000001134,1514448640.815,0,-34,0,4,21.00,2
0x000000000000000000001134,1514448640.992,0,-34,0,4,21.00,2
0x000000000000000000001134,1514448641.032,0,-34,0,4,21.00,2
0x000000000000000000001134,1514448641.087,0,-32,0,4,21.00,4
0x000000000000000000001134,1514448641.158,0,-32,0,4,21.00,4
0x000000000000000000001134,1514448641.210,0,-33,0,4,21.00,2
0x000000000000000000001134,1514448641.248,0,-33,0,4,21.00,2
0x000000000000000000001134,1514448641.417,0,-31,0,1,21.00,4
0x000000000000000000001134,1514448641.602,0,-31,0,1,21.00,4
0x000000000000000000001134,1514448641.658,0,-31,0,1,21.00,4
0x000000000000000000001134,1514448641.852,0,-31,0,1,21.00,4
0x000000000000000000001134,1514448642.013,0,-31,0,1,21.00,4
0x000000000000000000001134,1514448642.300,0,-31,0,1,21.00,4
0x000000000000000000001134,1514448642.783,0,-31,0,1,21.00,4
0x000000000000000000001134,1514448643.038,0,-31,0,1,21.00,4
0x000000000000000000001134,1514448643.054,0,-29,0,1,21.00,4
0x000000000000000000001134,1514448643.544,0,-31,0,1,21.00,4
0x000000000000000000001134,1514448643.754,0,-31,0,1,21.00,4
0x000000000000000000001134,1514448643.789,0,-31,0,1,21.00,4
0x000000000000000000001278,1514448633.813,0,-29,0,3,21.00,2
0x000000000000000000001278,1514448633.854,0,-29,0,3,21.00,2
0x000000000000000000001278,1514448634.007,0,-29,0,3,21.00,2
0x000000000000000000001278,1514448634.043,0,-29,0,3,21.00,2
0x000000000000000000001278,1514448634.396,0,-29,0,3,21.00,2
0x000000000000000000001278,1514448634.426,0,-29,0,3,21.00,2
0x000000000000000000001278,1514448634.661,0,-29,0,3,21.00,2
0x000000000000000000001278,1514448634.698,0,-29,0,3,21.00,2
0x000000000000000000001278,1514448635.174,0,-29,0,3,21.00,2
0x000000000000000000001278,1514448635.218,0,-29,0,3,21.00,2
0x000000000000000000001278,1514448636.083,0,-29,0,3,21.00,2
0x000000000000000000001278,1514448636.125,0,-29,0,3,21.00,2
0x000000000000000000001278,1514448636.966,0,-29,0,3,21.00,2
0x000000000000000000001278,1514448637.005,0,-29,0,3,21.00,2
0x000000000000000000001278,1514448637.282,0,-29,0,3,21.00,2
0x000000000000000000001278,1514448637.312,0,-29,0,3,21.00,2
0x000000000000000000001278,1514448637.485,0,-29,0,3,21.00,2
0x000000000000000000001278,1514448637.524,0,-29,0,3,21.00,2
0x000000000000000000001278,1514448637.811,0,-29,0,4,21.00,2
0x000000000000000000001278,1514448637.851,0,-29,0,4,21.00,2
0x000000000000000000001278,1514448638.119,0,-29,0,4,21.00,2
0x000000000000000000001278,1514448638.168,0,-29,0,4,21.00,2
0x000000000000000000001278,1514448638.781,0,-29,0,4,21.00,2
0x000000000000000000001278,1514448638.829,0,-29,0,4,21.00,2
0x000000000000000000001278,1514448638.987,0,-29,0,4,21.00,2
0x000000000000000000001278,1514448640.093,0,-29,0,4,21.00,2
0x000000000000000000001278,1514448640.245,0,-29,0,4,21.00,2
0x000000000000000000001278,1514448640.286,0,-29,0,4,21.00,2
0x000000000000000000001278,1514448640.760,0,-29,0,4,21.00,2
0x000000000000000000001278,1514448640.829,0,-29,0,4,21.00,2
0x000000000000000000001278,1514448641.008,0,-29,0,4,21.00,2
0x000000000000000000001278,1514448641.233,0,-29,0,4,21.00,2
0x000000000000000000001278,1514448641.510,0,-29,0,1,21.00,2
0x000000000000000000001278,1514448641.947,0,-29,0,1,21.00,2
0x000000000000000000001278,1514448642.094,0,-30,0,1,21.00,2
0x000000000000000000001278,1514448642.139,0,-29,0,1,21.00,2
0x000000000000000000001278,1514448642.945,0,-29,0,1,21.00,2
0x000000000000000000001278,1514448642.967,0,-30,0,1,21.00,2
0x000000000000000000001278,1514448643.344,0,-29,0,1,21.00,2
0x000000000000000000001278,1514448643.390,0,-30,0,1,21.00,2
0x000000000000000000001278,1514448643.845,0,-30,0,1,21.00,2
0x000000000000000000001278,1514448643.896,0,-30,0,1,21.00,2
0x000000000000000000001108,1514448633.895,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448633.941,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448634.114,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448634.156,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448634.225,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448634.271,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448634.327,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448634.467,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448634.605,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448634.776,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448634.879,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448634.915,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448634.997,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448635.264,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448635.324,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448635.529,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448635.611,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448635.644,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448635.725,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448635.851,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448635.901,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448635.993,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448636.249,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448636.367,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448636.470,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448636.601,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448636.679,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448636.748,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448636.823,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448637.084,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448637.182,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448637.371,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448637.441,0,-32,0,3,21.00,4
0x000000000000000000001108,1514448637.755,0,-32,0,4,21.00,4
0x000000000000000000001108,1514448637.922,0,-33,0,4,21.00,3
0x000000000000000000001108,1514448637.966,0,-32,0,4,21.00,3
0x000000000000000000001108,1514448638.023,0,-32,0,4,21.00,4
0x000000000000000000001108,1514448638.069,0,-32,0,4,21.00,4
0x000000000000000000001108,1514448638.236,0,-32,0,4,21.00,4
0x000000000000000000001108,1514448638.300,0,-32,0,4,21.00,4
0x000000000000000000001108,1514448638.387,0,-32,0,4,21.00,3
0x000000000000000000001108,1514448638.585,0,-32,0,4,21.00,3
0x000000000000000000001108,1514448638.661,0,-32,0,4,21.00,4
0x000000000000000000001108,1514448638.733,0,-32,0,4,21.00,4
0x000000000000000000001108,1514448638.951,0,-32,0,4,21.00,4
0x000000000000000000001108,1514448639.163,0,-32,0,4,21.00,4
0x000000000000000000001108,1514448639.268,0,-32,0,4,21.00,3
0x000000000000000000001108,1514448639.454,0,-32,0,4,21.00,3
0x000000000000000000001108,1514448639.843,0,-32,0,4,21.00,3
0x000000000000000000001108,1514448639.907,0,-32,0,4,21.00,3
0x000000000000000000001108,1514448639.969,0,-32,0,4,21.00,4
0x000000000000000000001108,1514448640.337,0,-32,0,4,21.00,3
0x000000000000000000001108,1514448640.388,0,-32,0,4,21.00,3
0x000000000000000000001108,1514448640.436,0,-32,0,4,21.00,4
0x000000000000000000001108,1514448640.507,0,-32,0,4,21.00,4
0x000000000000000000001108,1514448640.614,0,-32,0,4,21.00,3
0x000000000000000000001108,1514448640.666,0,-32,0,4,21.00,4
0x000000000000000000001108,1514448640.716,0,-32,0,4,21.00,4
0x000000000000000000001108,1514448641.118,0,-32,0,4,21.00,4
0x000000000000000000001108,1514448641.287,0,-32,0,4,21.00,3
