MultiReader - Tags Read History Results
Test Description: 
Test Date: 12/28/17  Time: 5:12:40 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000001102,1514448746.549,0,-32,0,3,21.00,3
0x000000000000000000001102,1514448746.594,0,-32,0,3,21.00,3
0x000000000000000000001102,1514448747.056,0,-32,0,3,21.00,3
0x000000000000000000001102,1514448747.099,0,-32,0,3,21.00,3
0x000000000000000000001102,1514448747.422,0,-32,0,3,21.00,3
0x000000000000000000001102,1514448747.627,0,-32,0,3,21.00,3
0x000000000000000000001102,1514448747.680,0,-32,0,3,21.00,3
0x000000000000000000001102,1514448747.843,0,-32,0,3,21.00,3
0x000000000000000000001102,1514448747.895,0,-32,0,3,21.00,3
0x000000000000000000001102,1514448748.072,0,-32,0,3,21.00,3
0x000000000000000000001102,1514448748.138,0,-32,0,3,21.00,3
0x000000000000000000001102,1514448748.334,0,-32,0,3,21.00,3
0x000000000000000000001102,1514448749.066,0,-32,0,3,21.00,3
0x000000000000000000001102,1514448749.118,0,-32,0,3,21.00,3
0x000000000000000000001102,1514448749.343,0,-32,0,3,21.00,3
0x000000000000000000001102,1514448749.752,0,-32,0,3,21.00,3
0x000000000000000000001102,1514448749.826,0,-32,0,3,21.00,3
0x000000000000000000001102,1514448750.079,0,-32,0,3,21.00,3
0x000000000000000000001102,1514448750.341,0,-32,0,4,21.00,3
0x000000000000000000001102,1514448750.384,0,-32,0,4,21.00,3
0x000000000000000000001102,1514448750.572,0,-32,0,4,21.00,3
0x000000000000000000001102,1514448750.831,0,-32,0,4,21.00,3
0x000000000000000000001102,1514448750.854,0,-32,0,4,21.00,3
0x000000000000000000001102,1514448751.040,0,-32,0,4,21.00,3
0x000000000000000000001102,1514448751.092,0,-32,0,4,21.00,3
0x000000000000000000001102,1514448751.542,0,-32,0,4,21.00,3
0x000000000000000000001102,1514448751.583,0,-32,0,4,21.00,3
0x000000000000000000001102,1514448752.027,0,-32,0,4,21.00,3
0x000000000000000000001102,1514448752.483,0,-32,0,4,21.00,3
0x000000000000000000001102,1514448752.517,0,-32,0,4,21.00,3
0x000000000000000000001102,1514448753.446,0,-32,0,4,21.00,3
0x000000000000000000001102,1514448753.477,0,-32,0,4,21.00,3
0x000000000000000000001102,1514448753.674,0,-32,0,4,21.00,3
0x000000000000000000001102,1514448753.895,0,-32,0,4,21.00,3
0x000000000000000000001102,1514448754.344,0,-33,0,1,21.00,3
0x000000000000000000001102,1514448754.399,0,-33,0,1,21.00,3
0x000000000000000000001102,1514448754.549,0,-33,0,1,21.00,3
0x000000000000000000001102,1514448754.609,0,-33,0,1,21.00,3
0x000000000000000000001102,1514448754.992,0,-33,0,1,21.00,3
0x000000000000000000001102,1514448755.200,0,-33,0,1,21.00,3
0x000000000000000000001102,1514448755.247,0,-33,0,1,21.00,3
0x000000000000000000001102,1514448755.422,0,-33,0,1,21.00,3
0x000000000000000000001102,1514448755.453,0,-33,0,1,21.00,3
0x000000000000000000001102,1514448755.675,0,-33,0,1,21.00,3
0x000000000000000000001102,1514448755.893,0,-33,0,1,21.00,3
0x000000000000000000001108,1514448746.559,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448746.614,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448746.689,0,-33,0,3,21.00,4
0x000000000000000000001108,1514448746.833,0,-33,0,3,21.00,4
0x000000000000000000001108,1514448746.963,0,-33,0,3,21.00,4
0x000000000000000000001108,1514448747.069,0,-33,0,3,21.00,3
0x000000000000000000001108,1514448747.117,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448747.411,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448747.461,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448747.497,0,-33,0,3,21.00,4
0x000000000000000000001108,1514448747.576,0,-33,0,3,21.00,4
0x000000000000000000001108,1514448747.668,0,-33,0,3,21.00,3
0x000000000000000000001108,1514448747.745,0,-33,0,3,21.00,4
0x000000000000000000001108,1514448747.855,0,-32,0,3,21.00,3
0x000000000000000000001108,1514448747.918,0,-33,0,3,21.00,3
0x000000000000000000001108,1514448748.127,0,-33,0,3,21.00,3
0x000000000000000000001108,1514448748.188,0,-33,0,3,21.00,4
0x000000000000000000001108,1514448748.248,0,-33,0,3,21.00,4
0x000000000000000000001108,1514448748.345,0,-32,0,3,21.00,3
